Temperature = 300K
THERMAL DISTRIBUTIONS:
  E, kcal/mol           W0           W1           W2           W3           W4          W5t          W5c           S1
      18.1239  1.46753e+08   9.1461e+07  1.46753e+08  6.23844e+07  4.83092e-14      3.27389      3.53019      683.573
      18.0038  1.73884e+08  1.08372e+08  1.73884e+08  7.39246e+07  5.87086e-14      3.95898      4.26443      818.157
      17.8837  2.05995e+08   1.2839e+08  2.05995e+08   8.7587e+07  7.13463e-14      4.78675      5.15124      980.035
      17.7636  2.43996e+08  1.52078e+08  2.43996e+08  1.03755e+08  8.67037e-14      5.78757       6.2223      1174.19
      17.6435  2.88958e+08  1.80105e+08  2.88958e+08  1.22889e+08  1.05366e-13      6.99781      7.51561       1408.3
      17.5235  3.42145e+08  2.13265e+08  3.42145e+08  1.45523e+08  1.28044e-13      8.46081      9.07829      1690.02
      17.4034  4.05051e+08   2.5248e+08  4.05051e+08    1.723e+08  1.55602e-13      10.2298      10.9647      2028.97
      17.2833  4.79438e+08  2.98857e+08  4.79438e+08  2.03964e+08  1.89089e-13      12.3676      13.2433      2432.37
      17.1632  5.67384e+08   3.5369e+08  5.67384e+08  2.41407e+08  2.29781e-13      14.9522      15.9943      2915.81
      17.0431   6.7134e+08    4.185e+08   6.7134e+08  2.85671e+08   2.7923e-13      18.0769      19.3176      3495.76
      16.9231  7.94197e+08  4.95104e+08  7.94197e+08   3.3799e+08  3.39318e-13      21.8528      23.3289      4189.66
       16.803  9.39362e+08  5.85619e+08  9.39362e+08  3.99817e+08  4.12335e-13      26.4191      28.1733      5024.95
      16.6829  1.11085e+09  6.92542e+08  1.11085e+09  4.72864e+08  5.01061e-13      31.9374      34.0239       6024.6
      16.5628  1.31339e+09  8.18848e+08  1.31339e+09  5.59151e+08  6.08876e-13      38.6061      41.0883       7208.9
      16.4427  1.55256e+09  9.67989e+08  1.55256e+09  6.61056e+08  7.39883e-13      46.6689      49.6171      8624.77
      16.3226  1.83493e+09  1.14407e+09  1.83493e+09  7.81378e+08  8.99076e-13      56.4121      59.9131      10312.8
      16.2026  2.16822e+09  1.35193e+09  2.16822e+09  9.23429e+08  1.09251e-12      68.1909      72.3483      12328.5
      16.0825  2.56152e+09   1.5972e+09  2.56152e+09  1.09107e+09  1.32755e-12      82.4266      87.3559      14758.9
      15.9624  3.02555e+09   1.8866e+09  3.02555e+09   1.2889e+09  1.61314e-12      99.6266      105.484      17666.6
      15.8423   3.5729e+09    2.228e+09   3.5729e+09  1.52227e+09  1.96016e-12      120.421      127.361        21140
