Temperature = 300K
THERMAL DISTRIBUTIONS:
  E, kcal/mol           W0           W1           W2           W3           W4          W5t          W5c           S1
      11.1591  1.92486e+12  1.20238e+12  1.92486e+12  8.25818e+11  1.98849e+10  5.93383e+09  5.15681e+09  1.01237e+09
       11.039   2.2478e+12  1.40409e+12   2.2478e+12  9.64568e+11  2.41558e+10  7.16616e+09  6.21966e+09  1.20064e+09
      10.9189  2.62392e+12  1.63922e+12  2.62392e+12  1.12627e+12  2.93439e+10  8.65256e+09  7.50062e+09   1.4296e+09
      10.7988  3.06177e+12  1.91288e+12  3.06177e+12  1.31449e+12  3.56457e+10  1.04472e+10  9.04607e+09  1.70218e+09
      10.6788  3.57125e+12  2.23119e+12  3.57125e+12   1.5337e+12  4.33006e+10  1.26145e+10  1.09085e+10   2.0277e+09
      10.5587  4.16382e+12  2.60175e+12  4.16382e+12  1.78858e+12  5.25988e+10  1.52309e+10  1.31543e+10  2.41957e+09
      10.4386  4.85271e+12  3.03228e+12  4.85271e+12  2.08515e+12  6.38934e+10  1.83903e+10   1.5862e+10  2.88312e+09
      10.3185  5.65322e+12  3.53263e+12  5.65322e+12  2.42962e+12  7.76127e+10  2.22023e+10  1.91267e+10  3.43999e+09
      10.1984  6.58295e+12  4.11419e+12  6.58295e+12  2.83006e+12  9.42773e+10  2.68045e+10  2.30634e+10  4.10349e+09
      10.0784  7.66226e+12  4.78875e+12  7.66226e+12  3.29483e+12  1.14519e+11  3.23605e+10  2.78048e+10  4.89586e+09
      9.95827   8.9146e+12  5.57187e+12   8.9146e+12  3.83455e+12  1.39107e+11   3.9064e+10  3.35252e+10  5.83946e+09
      9.83819  1.03669e+13   6.4805e+12  1.03669e+13   4.4605e+12  1.68973e+11  4.71612e+10  4.04154e+10  6.95183e+09
       9.7181  1.20502e+13  7.53262e+12  1.20502e+13  5.18649e+12  2.05251e+11  5.69309e+10  4.87262e+10  8.27292e+09
      9.59802  1.40002e+13  8.75264e+12  1.40002e+13  6.02745e+12  2.49315e+11   6.8717e+10  5.87394e+10  9.83478e+09
      9.47794   1.6258e+13  1.01653e+13   1.6258e+13   7.0017e+12  3.02836e+11  8.29493e+10  7.08194e+10  1.16832e+10
      9.35786  1.88705e+13  1.17984e+13  1.88705e+13  8.12901e+12  3.67842e+11  1.00126e+11  8.53642e+10  1.38956e+10
      9.23777  2.18915e+13  1.36895e+13  2.18915e+13  9.43371e+12  4.46798e+11  1.20856e+11  1.02903e+11   1.6522e+10
      9.11769  2.53833e+13  1.58742e+13  2.53833e+13  1.09416e+13  5.42696e+11  1.45868e+11  1.24037e+11  1.96421e+10
      8.99761  2.94163e+13  1.83963e+13  2.94163e+13  1.26856e+13  6.59172e+11  1.76054e+11  1.49514e+11  2.34854e+10
      8.87753  3.40717e+13   2.1312e+13  3.40717e+13  1.46968e+13  8.00638e+11  2.12493e+11   1.8022e+11  2.80824e+10
      8.75744  3.94416e+13  2.46714e+13  3.94416e+13  1.70215e+13  9.72454e+11  2.56431e+11  2.17214e+11  3.35947e+10
      8.63736   4.5632e+13  2.85451e+13   4.5632e+13  1.96965e+13  1.18113e+12  3.09476e+11  2.61812e+11  4.00948e+10
      8.51728  5.27629e+13  3.30133e+13  5.27629e+13  2.27865e+13  1.43458e+12  3.73545e+11  3.15503e+11  4.78293e+10
       8.3972  6.09707e+13  3.81468e+13  6.09707e+13  2.63361e+13  1.74241e+12  4.50744e+11  3.80258e+11  5.67966e+10
      8.27711  7.04123e+13  4.40609e+13  7.04123e+13   3.0433e+13  2.11629e+12  5.43943e+11  4.58252e+11  6.79121e+10
      8.15703   8.1264e+13  5.08612e+13   8.1264e+13  3.51327e+13  2.57038e+12  6.56399e+11   5.5227e+11  8.09384e+10
      8.03695  9.37271e+13  5.86557e+13  9.37271e+13  4.05438e+13  3.12188e+12   7.9204e+11  6.65458e+11   9.6578e+10
      7.91687  1.08028e+14   6.7623e+13  1.08028e+14  4.67441e+13  3.79167e+12  9.55866e+11  8.01972e+11  1.14789e+11
      7.79678  1.24426e+14  7.78967e+13  1.24426e+14  5.38665e+13  4.60513e+12  1.15333e+12  9.66266e+11  1.36404e+11
       7.6767   1.4321e+14    8.965e+13   1.4321e+14  6.20192e+13  5.59303e+12  1.39156e+12  1.16424e+12  1.60979e+11
      7.55662  1.64708e+14  1.03141e+14  1.64708e+14  7.13659e+13  6.79286e+12  1.67909e+12  1.40268e+12  1.91039e+11
      7.43654   1.8929e+14  1.18538e+14   1.8929e+14  8.20578e+13  8.24993e+12  2.02579e+12  1.69006e+12  2.26325e+11
      7.31645  2.17372e+14  1.36126e+14  2.17372e+14  9.42826e+13  1.00195e+13  2.44429e+12  2.03621e+12  2.69491e+11
