========================================
hono_W1_Energy_1_0.0.out
0.1 atm
T,P1->W1
440.0,8.93901e-12
450.0,8.56333e-12
460.0,8.20735e-12
470.0,7.86926e-12
480.0,7.54784e-12
490.0,7.24259e-12
500.0,6.95185e-12
510.0,6.67565e-12
520.0,6.41298e-12
530.0,6.16259e-12
540.0,5.92416e-12
550.0,5.69722e-12
560.0,5.48075e-12
570.0,5.27438e-12
580.0,5.07722e-12
590.0,4.88934e-12
600.0,4.70997e-12
610.0,4.53824e-12
620.0,4.37456e-12
630.0,4.21781e-12
640.0,4.06805e-12
650.0,3.92489e-12
660.0,3.78758e-12
670.0,3.65652e-12
680.0,3.53068e-12
690.0,3.41059e-12
700.0,3.29494e-12
800.0,2.36788e-12
900.0,1.74054e-12
1000.0,1.30378e-12
1100.0,9.92832e-13
1200.0,7.66805e-13
1300.0,5.99619e-13
1400.0,4.73918e-13
1500.0,3.78516e-13
1600.0,3.04777e-13
1700.0,2.47629e-13
1800.0,2.03004e-13
1900.0,1.6757e-13
2000.0,1.39537e-13
2100.0,1.17225e-13
2200.0,9.92553e-14
2300.0,8.4733e-14
2400.0,7.26755e-14
2500.0,6.30351e-14
2600.0,5.46889e-14
2700.0,4.78983e-14
2800.0,4.21625e-14
2900.0,3.69923e-14
3000.0,3.21791e-14
========================================
hono_W1_Energy_1_0.0.out
21.54 atm
T,P1->W1
200.0,3.09139e-11
210.0,2.98457e-11
220.0,2.88038e-11
230.0,2.77885e-11
240.0,2.68007e-11
250.0,2.58393e-11
260.0,2.4907e-11
270.0,2.40023e-11
280.0,2.31272e-11
290.0,2.22809e-11
300.0,2.14625e-11
310.0,2.06741e-11
320.0,1.99144e-11
330.0,1.91813e-11
340.0,1.84768e-11
350.0,1.77983e-11
360.0,1.71468e-11
370.0,1.65213e-11
380.0,1.59193e-11
390.0,1.5342e-11
400.0,1.47871e-11
410.0,1.42557e-11
420.0,1.37454e-11
430.0,1.32553e-11
440.0,1.27853e-11
450.0,1.23339e-11
460.0,1.19016e-11
470.0,1.14868e-11
480.0,1.10885e-11
490.0,1.07065e-11
500.0,1.03392e-11
510.0,9.98718e-12
520.0,9.64937e-12
530.0,9.3245e-12
540.0,9.01269e-12
550.0,8.71345e-12
560.0,8.42568e-12
570.0,8.14928e-12
580.0,7.88324e-12
590.0,7.6279e-12
600.0,7.38238e-12
610.0,7.14566e-12
620.0,6.91855e-12
630.0,6.69968e-12
640.0,6.4892e-12
650.0,6.28674e-12
660.0,6.0914e-12
670.0,5.9038e-12
680.0,5.72267e-12
690.0,5.54877e-12
700.0,5.38052e-12
800.0,3.99578e-12
900.0,3.01722e-12
1000.0,2.31153e-12
1100.0,1.79412e-12
1200.0,1.40857e-12
1300.0,1.11726e-12
1400.0,8.94186e-13
1500.0,7.22055e-13
1600.0,5.87212e-13
1700.0,4.81338e-13
1800.0,3.9767e-13
1900.0,3.30637e-13
2000.0,2.77099e-13
2100.0,2.3412e-13
2200.0,1.99279e-13
2300.0,1.70961e-13
2400.0,1.47298e-13
2500.0,1.28248e-13
2600.0,1.11726e-13
2700.0,9.81939e-14
2800.0,8.67232e-14
2900.0,7.63679e-14
3000.0,6.67301e-14
========================================
hono_W1_Energy_1_0.0.out
46.41 atm
T,P1->W1
200.0,3.32992e-11
210.0,3.24556e-11
220.0,3.16299e-11
230.0,3.08196e-11
240.0,3.00242e-11
250.0,2.92418e-11
260.0,2.84738e-11
270.0,2.77185e-11
280.0,2.69776e-11
290.0,2.62505e-11
300.0,2.55367e-11
310.0,2.48386e-11
320.0,2.41556e-11
330.0,2.34862e-11
340.0,2.28332e-11
350.0,2.21946e-11
360.0,2.15725e-11
370.0,2.09663e-11
380.0,2.03747e-11
390.0,1.97993e-11
400.0,1.92386e-11
410.0,1.86945e-11
420.0,1.81652e-11
430.0,1.76503e-11
440.0,1.71505e-11
450.0,1.66646e-11
460.0,1.61938e-11
470.0,1.57368e-11
480.0,1.52931e-11
490.0,1.4863e-11
500.0,1.44451e-11
510.0,1.40405e-11
520.0,1.36483e-11
530.0,1.32674e-11
540.0,1.28984e-11
550.0,1.2541e-11
560.0,1.21942e-11
570.0,1.18581e-11
580.0,1.1532e-11
590.0,1.12163e-11
600.0,1.09103e-11
610.0,1.06129e-11
620.0,1.03254e-11
630.0,1.00463e-11
640.0,9.77593e-12
650.0,9.51396e-12
660.0,9.25944e-12
670.0,9.01331e-12
680.0,8.7741e-12
690.0,8.54289e-12
700.0,8.31788e-12
800.0,6.40822e-12
900.0,4.98873e-12
1000.0,3.92177e-12
1100.0,3.11183e-12
1200.0,2.49028e-12
1300.0,2.00864e-12
1400.0,1.63162e-12
1500.0,1.33493e-12
1600.0,1.09862e-12
1700.0,9.10192e-13
1800.0,7.59146e-13
1900.0,6.3673e-13
2000.0,5.37831e-13
2100.0,4.57619e-13
2200.0,3.92067e-13
2300.0,3.38379e-13
2400.0,2.93205e-13
2500.0,2.56535e-13
2600.0,2.24643e-13
2700.0,1.98318e-13
2800.0,1.75895e-13
2900.0,1.55615e-13
3000.0,1.36727e-13
========================================
hono_W1_Energy_1_0.0.out
100.0 atm
T,P1->W1
200.0,3.47752e-11
210.0,3.41151e-11
220.0,3.34757e-11
230.0,3.28521e-11
240.0,3.22422e-11
250.0,3.16426e-11
260.0,3.10527e-11
270.0,3.047e-11
280.0,2.98947e-11
290.0,2.93255e-11
300.0,2.87616e-11
310.0,2.82041e-11
320.0,2.76526e-11
330.0,2.71056e-11
340.0,2.65651e-11
350.0,2.60298e-11
360.0,2.55013e-11
370.0,2.49796e-11
380.0,2.44635e-11
390.0,2.39549e-11
400.0,2.34527e-11
410.0,2.2959e-11
420.0,2.24723e-11
430.0,2.19929e-11
440.0,2.15216e-11
450.0,2.10577e-11
460.0,2.06027e-11
470.0,2.01559e-11
480.0,1.97169e-11
490.0,1.92864e-11
500.0,1.88635e-11
510.0,1.84494e-11
520.0,1.80438e-11
530.0,1.76456e-11
540.0,1.7256e-11
550.0,1.68748e-11
560.0,1.65013e-11
570.0,1.61359e-11
580.0,1.57778e-11
590.0,1.54281e-11
600.0,1.50861e-11
610.0,1.47508e-11
620.0,1.44239e-11
630.0,1.41038e-11
640.0,1.37912e-11
650.0,1.34859e-11
660.0,1.31869e-11
670.0,1.28956e-11
680.0,1.26104e-11
690.0,1.23326e-11
700.0,1.20604e-11
800.0,9.66813e-12
900.0,7.78434e-12
1000.0,6.29905e-12
1100.0,5.12519e-12
1200.0,4.19282e-12
1300.0,3.44851e-12
1400.0,2.85043e-12
1500.0,2.36869e-12
1600.0,1.97719e-12
1700.0,1.65923e-12
1800.0,1.39992e-12
1900.0,1.18673e-12
2000.0,1.01208e-12
2100.0,8.68636e-13
2200.0,7.50229e-13
2300.0,6.52322e-13
2400.0,5.69242e-13
2500.0,5.01132e-13
2600.0,4.41669e-13
2700.0,3.92125e-13
2800.0,3.49665e-13
2900.0,3.1117e-13
3000.0,2.75287e-13
========================================
hono_W1_Energy_1_0.0.out
0.1 atm
T,R1->P1
200.0,1.01416e-10
210.0,1.03407e-10
220.0,1.05328e-10
230.0,1.0718e-10
240.0,1.08947e-10
250.0,1.10639e-10
260.0,1.12279e-10
270.0,1.13869e-10
280.0,1.15387e-10
290.0,1.16856e-10
300.0,1.18282e-10
310.0,1.19658e-10
320.0,1.2099e-10
330.0,1.22276e-10
340.0,1.23526e-10
350.0,1.24745e-10
360.0,1.25934e-10
370.0,1.27092e-10
380.0,1.28216e-10
390.0,1.29315e-10
400.0,1.30385e-10
410.0,1.31438e-10
420.0,1.32458e-10
430.0,1.33462e-10
440.0,1.34447e-10
450.0,1.35418e-10
460.0,1.36365e-10
470.0,1.37259e-10
480.0,1.38186e-10
490.0,1.3907e-10
500.0,1.3996e-10
510.0,1.40835e-10
520.0,1.41703e-10
530.0,1.42532e-10
540.0,1.43365e-10
550.0,1.44182e-10
560.0,1.44985e-10
570.0,1.45789e-10
580.0,1.46557e-10
590.0,1.47357e-10
600.0,1.48093e-10
610.0,1.48882e-10
620.0,1.49602e-10
630.0,1.50359e-10
640.0,1.51077e-10
650.0,1.51811e-10
660.0,1.52509e-10
670.0,1.53243e-10
680.0,1.53904e-10
690.0,1.54648e-10
700.0,1.55281e-10
800.0,1.61846e-10
900.0,1.67811e-10
1000.0,1.73394e-10
1100.0,1.78561e-10
1200.0,1.83476e-10
1300.0,1.8807e-10
1400.0,1.92386e-10
1500.0,1.96523e-10
1600.0,2.00427e-10
1700.0,2.04143e-10
1800.0,2.07704e-10
1900.0,2.11082e-10
2000.0,2.14318e-10
2100.0,2.17423e-10
2200.0,2.20394e-10
2300.0,2.2325e-10
2400.0,2.25993e-10
2500.0,2.28631e-10
2600.0,2.3116e-10
2700.0,2.33602e-10
2800.0,2.35962e-10
2900.0,2.38229e-10
3000.0,2.40418e-10
========================================
hono_W1_Energy_1_0.0.out
0.2154 atm
T,R1->P1
200.0,1.01415e-10
210.0,1.03407e-10
220.0,1.05328e-10
230.0,1.0718e-10
240.0,1.08947e-10
250.0,1.10639e-10
260.0,1.12279e-10
270.0,1.13869e-10
280.0,1.15387e-10
290.0,1.16856e-10
300.0,1.18282e-10
310.0,1.19658e-10
320.0,1.2099e-10
330.0,1.22277e-10
340.0,1.23526e-10
350.0,1.24745e-10
360.0,1.25934e-10
370.0,1.27092e-10
380.0,1.28216e-10
390.0,1.29315e-10
400.0,1.30385e-10
410.0,1.31438e-10
420.0,1.32458e-10
430.0,1.33462e-10
440.0,1.34447e-10
450.0,1.35418e-10
460.0,1.36365e-10
470.0,1.37259e-10
480.0,1.38186e-10
490.0,1.3907e-10
500.0,1.3996e-10
510.0,1.40835e-10
520.0,1.41703e-10
530.0,1.42532e-10
540.0,1.43365e-10
550.0,1.44182e-10
560.0,1.44985e-10
570.0,1.45789e-10
580.0,1.46557e-10
590.0,1.47357e-10
600.0,1.48093e-10
610.0,1.48882e-10
620.0,1.49602e-10
630.0,1.50359e-10
640.0,1.51077e-10
650.0,1.51811e-10
660.0,1.52509e-10
670.0,1.53243e-10
680.0,1.53905e-10
690.0,1.54648e-10
700.0,1.55281e-10
800.0,1.61846e-10
900.0,1.67811e-10
1000.0,1.73394e-10
1100.0,1.78561e-10
1200.0,1.83476e-10
1300.0,1.8807e-10
1400.0,1.92387e-10
1500.0,1.96523e-10
1600.0,2.00427e-10
1700.0,2.04143e-10
1800.0,2.07704e-10
1900.0,2.11082e-10
2000.0,2.14318e-10
2100.0,2.17423e-10
2200.0,2.20394e-10
2300.0,2.2325e-10
2400.0,2.25993e-10
2500.0,2.28631e-10
2600.0,2.3116e-10
2700.0,2.33602e-10
2800.0,2.35962e-10
2900.0,2.38229e-10
3000.0,2.40418e-10
========================================
hono_W1_Energy_1_0.0.out
0.4641 atm
T,R1->P1
200.0,1.01416e-10
210.0,1.03407e-10
220.0,1.05328e-10
230.0,1.0718e-10
