    E, kcal/mol    D, mol/kcal         W1->P0
          125.5    8.31033e+07    2.02223e+12
            126    8.40877e+07    2.02667e+12
          126.5    8.50854e+07    2.03097e+12
            127    8.60866e+07    2.03536e+12
          127.5    8.70968e+07    2.03972e+12
            128    8.81175e+07      2.044e+12
          128.5    8.91444e+07    2.04831e+12
            129    9.01809e+07    2.05258e+12
          129.5    9.12269e+07    2.05681e+12
            130    9.22797e+07    2.06106e+12
          130.5    9.33417e+07    2.06527e+12
            131    9.44137e+07    2.06943e+12
          131.5    9.54912e+07    2.07364e+12
            132     9.6582e+07    2.07773e+12
          132.5    9.76791e+07    2.08186e+12
            133    9.87859e+07    2.08595e+12
          133.5    9.99018e+07    2.09001e+12
            134    1.01025e+08    2.09408e+12
          134.5    1.02158e+08    2.09814e+12
            135    1.03301e+08    2.10214e+12
          135.5    1.04451e+08    2.10615e+12
            136    1.05612e+08    2.11013e+12
          136.5    1.06783e+08    2.11407e+12
            137    1.07958e+08    2.11807e+12
          137.5    1.09149e+08    2.12194e+12
            138    1.10346e+08    2.12585e+12
          138.5    1.11552e+08    2.12974e+12
            139    1.12769e+08    2.13359e+12
          139.5    1.13996e+08    2.13741e+12
            140    1.15229e+08    2.14126e+12
          140.5    1.16476e+08    2.14503e+12
            141     1.1773e+08    2.14883e+12
          141.5    1.18992e+08    2.15263e+12
            142    1.20267e+08    2.15635e+12
          142.5    1.21549e+08    2.16011e+12
            143    1.22842e+08    2.16381e+12
          143.5    1.24146e+08     2.1675e+12
            144    1.25459e+08    2.17117e+12
          144.5    1.26779e+08    2.17486e+12
            145    1.28113e+08    2.17848e+12
          145.5    1.29454e+08    2.18213e+12
            146    1.30807e+08    2.18572e+12
          146.5     1.3217e+08    2.18931e+12
            147    1.33541e+08    2.19291e+12
          147.5    1.34924e+08    2.19647e+12
            148    1.36317e+08    2.20001e+12
          148.5     1.3772e+08    2.20353e+12
            149    1.39135e+08    2.20701e+12
          149.5    1.40559e+08     2.2105e+12
            150    1.41991e+08    2.21402e+12
          150.5    1.43437e+08    2.21745e+12
            151     1.4489e+08    2.22092e+12
          151.5    1.46357e+08    2.22433e+12
            152    1.47833e+08    2.22774e+12
          152.5    1.49318e+08    2.23116e+12
            153    1.50814e+08    2.23456e+12
          153.5    1.52325e+08    2.23788e+12
            154    1.53842e+08    2.24125e+12
          154.5    1.55372e+08    2.24457e+12
            155    1.56913e+08    2.24788e+12
          155.5    1.58463e+08    2.25121e+12
            156    1.60027e+08    2.25447e+12
          156.5      1.616e+08    2.25774e+12
            157    1.63183e+08    2.26102e+12
          157.5    1.64779e+08    2.26425e+12
            158    1.66384e+08    2.26749e+12
          158.5       1.68e+08    2.27073e+12
            159    1.69632e+08    2.27388e+12
          159.5    1.71271e+08    2.27708e+12
            160    1.72922e+08    2.28026e+12
          160.5    1.74585e+08    2.28341e+12
            161    1.76257e+08    2.28658e+12
          161.5    1.77942e+08    2.28971e+12
            162    1.79641e+08     2.2928e+12
          162.5    1.81347e+08    2.29592e+12
            163    1.83067e+08      2.299e+12
          163.5    1.84799e+08    2.30207e+12
            164     1.8654e+08    2.30516e+12
