pressure[atm]        = 0.1
temperature[K]       = 200
energy step[1/cm]    = 42
maximum energy[1/cm] = 4170

Bimolecular-to-bimolecular product energy distributions:
  E, kcal/mol       P0->P1
      3.27654    0.0808164
      3.15645    0.0964905
      3.03637     0.114855
      2.91629     0.136272
      2.79621     0.161126
      2.67612      0.18981
      2.55604     0.222719
      2.43596     0.260225
      2.31588     0.302658
      2.19579     0.350273
      2.07571     0.403205
      1.95563     0.461421
      1.83555     0.524646
      1.71546      0.59228
      1.59538     0.663285
       1.4753     0.736047
      1.35522     0.808193
      1.23513     0.876343
      1.11505     0.935785
     0.994969     0.979997
     0.874887            1
     0.754804     0.983583
     0.634722      0.91498
     0.514639     0.777549
     0.394557     0.566202
     0.274474     0.316859
     0.154392     0.122264
    0.0343093    0.0478918
   -0.0857732    0.0296436
    -0.205856    0.0187609
    -0.325938    0.0120049
    -0.446021   0.00774487
    -0.566103   0.00501255
    -0.686186   0.00323418
    -0.806268   0.00206667
    -0.926351   0.00130148
     -1.04643  0.000805733
     -1.16652  0.000490125
      -1.2866  0.000293077
     -1.40668  0.000172348
     -1.52676  9.95986e-05
     -1.64685  5.65453e-05
     -1.76693  3.15041e-05
     -1.88701  1.71926e-05
     -2.00709  9.17051e-06
     -2.12718  4.76167e-06
     -2.24726  2.39954e-06
     -2.36734  1.16776e-06
     -2.48742  5.45584e-07
     -2.60751  2.42551e-07
     -2.72759  1.01203e-07
     -2.84767  3.90263e-08
     -2.96775  1.34867e-08
     -3.08784  3.94975e-09
     -3.20792  8.40315e-10
       -3.328  3.69553e-11
     -3.44808 -7.17582e-11
     -3.56817 -3.99214e-11
     -3.68825  -1.1299e-11
     -3.80833 -1.16786e-12

Well-to-bimolecular product energy distributions:
  E, kcal/mol       W0->P0       W0->P1
      11.9225 -3.74382e-17 -1.56078e-19
      11.8024  -1.3679e-16 -5.64138e-19
      11.6823 -1.02477e-16 -4.18063e-19
      11.5622  2.27267e-17  9.17093e-20
      11.4421  8.36217e-17  3.33759e-19
      11.3221  1.27444e-16  5.03093e-19
       11.202 -3.33771e-16 -1.30306e-18
      11.0819 -2.51608e-16 -9.71409e-19
      10.9618  6.10205e-17  2.32964e-19
      10.8417 -1.76247e-16 -6.65337e-19
      10.7217 -1.00205e-15 -3.74015e-18
      10.6016 -3.70217e-16 -1.36617e-18
      10.4815  2.00841e-17  7.32686e-20
      10.3614 -3.80102e-16 -1.37073e-18
      10.2413  1.31612e-15  4.69136e-18
      10.1212  -1.2883e-17 -4.53878e-20
      10.0012  6.26456e-16  2.18117e-18
      9.88107 -7.19976e-16 -2.47715e-18
      9.76099 -7.51359e-17  -2.5543e-19
      9.64091 -3.92388e-16 -1.31791e-18
      9.52083  6.90457e-16  2.29088e-18
      9.40074 -3.23922e-16 -1.06158e-18
      9.28066 -1.11841e-15 -3.62004e-18
      9.16058 -2.05282e-15 -6.56171e-18
       9.0405  1.40167e-15  4.42406e-18
      8.92041  1.89918e-15  5.91847e-18
      8.80033  4.87905e-15  1.50111e-17
      8.68025 -2.91047e-15 -8.83986e-18
      8.56017  3.25285e-15  9.75284e-18
      8.44008  6.27187e-15  1.85624e-17
         8.32 -4.77459e-15 -1.39487e-17
      8.19992 -4.38375e-15 -1.26414e-17
      8.07984 -1.45258e-14 -4.13462e-17
      7.95975 -1.72217e-14  -4.8386e-17
      7.83967 -5.60525e-15  -1.5545e-17
      7.71959  5.99699e-15  1.64166e-17
      7.59951 -1.74825e-14 -4.72404e-17
      7.47942 -3.97042e-14 -1.05905e-16
      7.35934  2.28819e-14  6.02498e-17
      7.23926 -1.10445e-14 -2.87086e-17
      7.11918  1.97472e-15   5.0675e-18
      6.99909  2.72223e-14    6.897e-17
