========================================
absch2o+h_P1_SymmetryFactor_1_0.1.out
--
T,P1->P2
610.0,1.86373e-12
620.0,1.99458e-12
630.0,2.1322e-12
640.0,2.27591e-12
650.0,2.42676e-12
660.0,2.5845e-12
670.0,2.7493e-12
680.0,2.92204e-12
690.0,3.10116e-12
700.0,3.2887e-12
800.0,5.61684e-12
900.0,8.88593e-12
1000.0,1.32454e-11
1100.0,1.88279e-11
1200.0,2.57535e-11
1300.0,3.41235e-11
1400.0,4.40247e-11
1500.0,5.55267e-11
1600.0,6.86894e-11
1700.0,8.35551e-11
1800.0,1.00165e-10
1900.0,1.18535e-10
2000.0,1.38693e-10
2100.0,1.60644e-10
2200.0,1.84399e-10
2300.0,2.09951e-10
2400.0,2.37305e-10
2500.0,2.66439e-10
2600.0,2.97358e-10
2700.0,3.30052e-10
2800.0,3.6448e-10
2900.0,4.00652e-10
3000.0,4.38551e-10
========================================
absch2o+h_B2_ImaginaryFrequency_1_0.1.out
--
T,P1->P2
200.0,3.64487e-14
210.0,4.19173e-14
220.0,4.68982e-14
230.0,5.33104e-14
240.0,6.04703e-14
250.0,6.86455e-14
260.0,7.77096e-14
270.0,8.79073e-14
280.0,9.94737e-14
290.0,1.12201e-13
300.0,1.26308e-13
310.0,1.41998e-13
320.0,1.59451e-13
330.0,1.78962e-13
340.0,2.00177e-13
350.0,2.2308e-13
360.0,2.4811e-13
370.0,2.75942e-13
380.0,3.05585e-13
390.0,3.38378e-13
400.0,3.73341e-13
410.0,4.12305e-13
420.0,4.53737e-13
430.0,4.96456e-13
440.0,5.43532e-13
450.0,5.94187e-13
460.0,6.48687e-13
470.0,7.06403e-13
480.0,7.67484e-13
490.0,8.32878e-13
500.0,9.02829e-13
510.0,9.76804e-13
520.0,1.05423e-12
530.0,1.13604e-12
540.0,1.22297e-12
550.0,1.31546e-12
560.0,1.41112e-12
570.0,1.51263e-12
580.0,1.619e-12
590.0,1.73147e-12
600.0,1.84773e-12
610.0,1.97037e-12
620.0,2.09842e-12
630.0,2.23303e-12
640.0,2.37214e-12
650.0,2.51809e-12
660.0,2.66998e-12
670.0,2.8279e-12
680.0,2.99376e-12
690.0,3.16337e-12
700.0,3.3415e-12
800.0,5.50001e-12
900.0,8.43168e-12
1000.0,1.22268e-11
1100.0,1.69535e-11
1200.0,2.26756e-11
1300.0,2.94389e-11
1400.0,3.72778e-11
1500.0,4.62112e-11
1600.0,5.62628e-11
1700.0,6.74383e-11
1800.0,7.97447e-11
1900.0,9.3176e-11
2000.0,1.07734e-10
2100.0,1.23407e-10
2200.0,1.40192e-10
2300.0,1.5807e-10
2400.0,1.77037e-10
2500.0,1.97066e-10
2600.0,2.18157e-10
2700.0,2.40296e-10
2800.0,2.63446e-10
2900.0,2.87612e-10
3000.0,3.1278e-10
