========================================
c2h6rad_B1_Frequencies_1_0.01.out
0.001 atm
T,P1->P2
670.0,3.37171e-24
680.0,4.58206e-24
690.0,6.18541e-24
700.0,8.29516e-24
800.0,1.124e-22
900.0,9.30616e-22
1000.0,5.33409e-21
1100.0,2.31585e-20
1200.0,8.11642e-20
1300.0,2.40351e-19
1400.0,6.2184e-19
1500.0,1.44119e-18
1600.0,3.04972e-18
1700.0,5.98037e-18
1800.0,1.09952e-17
1900.0,1.91314e-17
2000.0,3.17433e-17
2100.0,5.05381e-17
2200.0,7.76042e-17
2300.0,1.1543e-16
2400.0,1.66917e-16
2500.0,2.35378e-16
2600.0,3.24538e-16
2700.0,4.38517e-16
2800.0,5.81812e-16
2900.0,7.59281e-16
========================================
c2h6rad_B1_Frequencies_1_0.01.out
0.001 atm
T,P2->P3
290.0,2.76831e-25
300.0,3.22477e-25
310.0,3.79163e-25
320.0,4.50283e-25
330.0,5.40485e-25
340.0,6.56168e-25
350.0,8.06214e-25
360.0,1.00301e-24
370.0,1.26392e-24
380.0,1.6133e-24
390.0,2.08534e-24
400.0,2.72795e-24
410.0,3.6081e-24
420.0,4.81887e-24
430.0,6.48902e-24
440.0,8.7955e-24
450.0,1.19797e-23
460.0,1.63685e-23
470.0,2.2401e-23
480.0,3.06624e-23
490.0,4.19261e-23
500.0,5.72061e-23
510.0,7.78213e-23
520.0,1.05473e-22
530.0,1.4234e-22
540.0,1.9119e-22
550.0,2.55514e-22
560.0,3.39685e-22
570.0,4.4914e-22
580.0,5.90599e-22
590.0,7.7231e-22
600.0,1.00434e-21
610.0,1.29888e-21
620.0,1.67067e-21
630.0,2.13735e-21
640.0,2.71999e-21
650.0,3.44357e-21
660.0,4.33764e-21
670.0,5.43689e-21
680.0,6.78196e-21
690.0,8.42019e-21
700.0,1.04065e-20
800.0,6.91367e-20
900.0,3.29164e-19
1000.0,1.2209e-18
1100.0,3.74143e-18
1200.0,9.87532e-18
1300.0,2.31359e-17
1400.0,4.91946e-17
1500.0,9.65525e-17
1600.0,1.77206e-16
1700.0,3.07262e-16
1800.0,5.07462e-16
1900.0,8.03592e-16
2000.0,1.22677e-15
2100.0,1.81357e-15
2200.0,2.60609e-15
2300.0,3.65176e-15
2400.0,5.0032e-15
2500.0,6.71791e-15
2600.0,8.85782e-15
2700.0,1.1489e-14
2800.0,1.46809e-14
2900.0,1.85063e-14
========================================
c2h6rad_W1_Frequencies_1_0.01.out
0.001 atm
T,P2->P3
290.0,2.68205e-25
300.0,3.12226e-25
310.0,3.66855e-25
320.0,4.35344e-25
330.0,5.22139e-25
340.0,6.33362e-25
350.0,7.77499e-25
360.0,9.66381e-25
370.0,1.21657e-24
380.0,1.5513e-24
390.0,2.00316e-24
400.0,2.61777e-24
410.0,3.45888e-24
420.0,4.61505e-24
430.0,6.20874e-24
440.0,8.40812e-24
