pressure[atm]        = 0.1
temperature[K]       = 200
energy step[1/cm]    = 42
maximum energy[1/cm] = 4170

Bimolecular-to-bimolecular product energy distributions:
  E, kcal/mol       P0->P1
      1.23513      0.01089   1.0259e-05
      1.11505    0.0232375  2.45464e-05
     0.994969    0.0489038  5.95582e-05
     0.874887     0.100818  0.000146818
     0.754804     0.201366  0.000368359
     0.634722     0.381904  0.000940423
     0.514639     0.660587   0.00242538
     0.394557     0.963079   0.00620421
     0.274474            1    0.0151339
     0.154392      0.48729    0.0333603
    0.0343093    0.0112715    0.0648259
   -0.0857732            0     0.116444
    -0.205856            0     0.198752
    -0.325938            0     0.319246
    -0.446021            0     0.477377
    -0.566103            0     0.657724
    -0.686186            0     0.828272
    -0.806268            0     0.951319
    -0.926351            0            1
     -1.04643            0     0.969824
     -1.16652            0     0.877076
      -1.2866            0     0.747759
     -1.40668            0     0.606803
     -1.52676            0     0.472451
     -1.64685            0     0.354821
     -1.76693            0     0.258027
     -1.88701            0     0.182132
     -2.00709            0     0.124939
     -2.12718            0    0.0833252
     -2.24726            0    0.0539879
     -2.36734            0    0.0339353
     -2.48742            0    0.0206472
     -2.60751            0    0.0121216
     -2.72759            0   0.00683774
     -2.84767            0   0.00368455
     -2.96775            0    0.0018821
     -3.08784            0  0.000901743
     -3.20792            0  0.000399197
       -3.328            0  0.000159663
     -3.44808            0  5.56539e-05
     -3.56817            0  1.58208e-05
     -3.68825            0  3.20669e-06
     -3.80833            0  2.69277e-07

pressure[atm]        = 2
temperature[K]       = 200
energy step[1/cm]    = 42
maximum energy[1/cm] = 4170

Bimolecular-to-bimolecular product energy distributions:
  E, kcal/mol       P0->P1
      11.9225  8.38928e-09
      11.8024  1.07337e-08
      11.6823  1.37279e-08
      11.5622  1.75505e-08
      11.4421  2.24286e-08
      11.3221   2.8651e-08
       11.202  3.65848e-08
      11.0819  4.66961e-08
      10.9618  5.95768e-08
      10.8417  7.59781e-08
      10.7217  9.68525e-08
      10.6016  1.23407e-07
      10.4815  1.57173e-07
      10.3614  2.00085e-07
      10.2413  2.54595e-07
      10.1212  3.23804e-07
      10.0012  4.11631e-07
      9.88107  5.23025e-07
      9.76099  6.64237e-07
      9.64091  8.43154e-07
      9.52083  1.06972e-06
      9.40074  1.35645e-06
      9.28066  1.71913e-06
      9.16058   2.1776e-06
       9.0405  2.75681e-06
      8.92041  3.48809e-06
      8.80033  4.41076e-06
      8.68025  5.57415e-06
      8.56017  7.04005e-06
      8.44008  8.88582e-06
         8.32  1.12082e-05
      8.19992  1.41282e-05
      8.07984  1.77968e-05
      7.95975  2.24023e-05
      7.83967  2.81796e-05
      7.71959  3.54209e-05
      7.59951  4.44897e-05
      7.47942  5.58378e-05
      7.35934  7.00256e-05
      7.23926  8.77481e-05
      7.11918  0.000109866
      6.99909  0.000137443
      6.87901  0.000171794
      6.75893  0.000214543
      6.63885   0.00026769
      6.51876    0.0003337
      6.39868  0.000415603
       6.2786   0.00051712
      6.15852  0.000642815
      6.03843  0.000798281
      5.91835  0.000990354
      5.79827   0.00122738
      5.67819   0.00151955
       5.5581   0.00187923
      5.43802   0.00232148
      5.31794   0.00286453
      5.19786   0.00353044
      5.07777   0.00434581
      4.95769   0.00534266
      4.83761   0.00655949
      4.71753   0.00804235
      4.59744   0.00984625
      4.47736    0.0120366
      4.35728    0.0146908
       4.2372    0.0179003
      4.11711    0.0217729
      3.99703    0.0264342
      3.87695    0.0320307
      3.75687    0.0387313
      3.63678    0.0467297
       3.5167    0.0562461
      3.39662    0.0675293
      3.27654    0.0808576
      3.15645    0.0965396
      3.03637     0.114913
      2.91629     0.136341
      2.79621     0.161207
      2.67612     0.189906
      2.55604     0.222832
      2.43596     0.260356
      2.31588     0.302811
      2.19579      0.35045
      2.07571     0.403408
      1.95563     0.461652
      1.83555     0.524907
      1.71546     0.592571
      1.59538     0.663605
       1.4753     0.736392
      1.35522     0.808552
      1.23513     0.876698
      1.11505     0.936099
     0.994969     0.980206
     0.874887            1
     0.754804     0.983219
     0.634722     0.914093
     0.514639     0.776185
     0.394557     0.565093
     0.274474     0.317579
     0.154392     0.125341
    0.0343093    0.0511044
   -0.0857732    0.0318567
    -0.205856    0.0202839
    -0.325938    0.0130547
    -0.446021   0.00846541
    -0.566103   0.00550155
    -0.686186   0.00356034
    -0.806268   0.00227952
    -0.926351   0.00143715
     -1.04643  0.000890249
     -1.16652  0.000541677
      -1.2866  0.000323927
     -1.40668  0.000190485
     -1.52676  0.000110071
     -1.64685   6.2483e-05
     -1.76693   3.4807e-05
     -1.88701  1.89916e-05
     -2.00709  1.01278e-05
     -2.12718  5.25728e-06
     -2.24726  2.64836e-06
     -2.36734  1.28827e-06
     -2.48742  6.01521e-07
     -2.60751  2.67198e-07
     -2.72759  1.11353e-07
     -2.84767  4.28623e-08
     -2.96775  1.47671e-08
     -3.08784  4.29867e-09
     -3.20792   8.9915e-10
       -3.328  2.89943e-11
     -3.44808 -8.34427e-11
     -3.56817 -4.52978e-11
     -3.68825 -1.27263e-11
     -3.80833 -1.31076e-12

Well-to-bimolecular product energy distributions:
  E, kcal/mol       W0->P0       W0->P1
      11.9225  3.03967e-17  1.45797e-19
      11.8024 -5.64691e-17 -2.67941e-19
      11.6823 -1.64052e-16 -7.70003e-19
      11.5622   1.3027e-16  6.04806e-19
      11.4421  4.35803e-17  2.00125e-19
      11.3221  1.96016e-16  8.90259e-19
       11.202 -8.64802e-17 -3.88446e-19
      11.0819  1.26954e-16  5.63925e-19
      10.9618 -1.04541e-16 -4.59195e-19
      10.8417  4.12774e-16  1.79279e-18
      10.7217    5.057e-16  2.17164e-18
      10.6016 -5.46045e-17 -2.31831e-19
      10.4815  5.54089e-16  2.32564e-18
      10.3614 -2.78546e-16  -1.1557e-18
      10.2413  4.03178e-16  1.65348e-18
      10.1212  1.48146e-15  6.00495e-18
      10.0012 -7.29722e-16 -2.92316e-18
      9.88107    2.253e-16  8.91852e-19
      9.76099 -1.86371e-17 -7.28953e-20
      9.64091  3.27617e-16    1.266e-18
      9.52083  6.21412e-16  2.37215e-18
      9.40074   1.5365e-15  5.79355e-18
      9.28066  1.33062e-15  4.95527e-18
      9.16058 -2.65722e-16 -9.77217e-19
       9.0405 -7.79458e-16 -2.83051e-18
      8.92041 -3.07534e-15 -1.10264e-17
      8.80033  -7.6622e-16 -2.71223e-18
      8.68025 -6.09284e-16 -2.12911e-18
      8.56017   -3.414e-15 -1.17768e-17
      8.44008 -1.44509e-15 -4.92073e-18
         8.32  2.23998e-16  7.52901e-19
      8.19992  7.94622e-15  2.63637e-17
      8.07984 -9.02485e-15 -2.95552e-17
      7.95975  2.81946e-15  9.11398e-18
      7.83967 -1.76793e-14   -5.641e-17
      7.71959 -1.50391e-14 -4.73661e-17
      7.59951  6.58574e-15  2.04744e-17
      7.47942  1.72813e-14  5.30341e-17
      7.35934 -6.05287e-15 -1.83368e-17
      7.23926  1.01141e-16  3.02476e-19
      7.11918  2.82301e-15  8.33485e-18
      6.99909  1.46663e-14  4.27517e-17
      6.87901  3.39945e-15  9.78393e-18
      6.75893 -3.80321e-14 -1.08081e-16
      6.63885 -5.32436e-14 -1.49409e-16
      6.51876 -9.78539e-14 -2.71147e-16
      6.39868  8.46568e-15  2.31632e-17
       6.2786  9.52167e-14  2.57243e-16
      6.15852 -6.34066e-14 -1.69134e-16
      6.03843 -2.71209e-14 -7.14209e-17
      5.91835  2.06511e-13  5.36828e-16
      5.79827  3.63285e-14   9.3206e-17
      5.67819  8.82535e-15  2.23438e-17
       5.5581 -8.80811e-14 -2.20014e-16
      5.43802 -4.33576e-13 -1.06828e-15
      5.31794  2.28013e-13  5.54033e-16
      5.19786  4.05618e-13  9.71755e-16
      5.07777  2.31093e-13  5.45759e-16
      4.95769  7.94819e-14  1.85003e-16
      4.83761  3.34811e-13  7.67937e-16
      4.71753  1.65355e-13  3.73666e-16
      4.59744 -2.62444e-13 -5.84222e-16
      4.47736  4.70022e-13   1.0306e-15
      4.35728  1.04386e-12  2.25441e-15
       4.2372  2.81262e-12  5.98326e-15
      4.11711  7.01227e-12  1.46948e-14
      3.99703  1.85997e-11  3.84031e-14
      3.87695  5.30649e-11  1.07984e-13
      3.75687  1.45901e-10  2.92761e-13
      3.63678  4.12311e-10  8.16401e-13
       3.5167  1.17426e-09  2.29669e-12
      3.39662  3.32558e-09  6.43301e-12
      3.27654  9.22682e-09   1.7679e-11
      3.15645  2.47181e-08  4.69897e-11
      3.03637   6.3949e-08  1.20837e-10
      2.91629  1.60724e-07   3.0249e-10
      2.79621  3.93737e-07   7.3976e-10
      2.67612  9.43034e-07  1.77326e-09
      2.55604  2.21493e-06  4.18035e-09
      2.43596  5.11604e-06  9.72322e-09
      2.31588  1.16601e-05  2.23983e-08
      2.19579  2.62842e-05  5.12514e-08
      2.07571  5.87308e-05  1.16821e-07
      1.95563  0.000130334  2.65986e-07
      1.83555  0.000287583  6.06242e-07
      1.71546  0.000631358  1.38584e-06
      1.59538    0.0013788  3.18155e-06
       1.4753    0.0029934  7.34494e-06
      1.35522   0.00645443  1.70787e-05
      1.23513    0.0138015  4.00689e-05
      1.11505     0.029167  9.49502e-05
     0.994969    0.0606355  0.000227579
     0.874887        0.123  0.000552018
     0.754804     0.240303   0.00135473
     0.634722     0.441772   0.00335254
     0.514639     0.730766   0.00826866
     0.394557            1    0.0198532
     0.274474     0.954509    0.0445183
     0.154392     0.421622    0.0889554
    0.0343093   0.00881557     0.156252
   -0.0857732            0     0.252096
    -0.205856            0     0.382298
    -0.325938            0     0.541427
    -0.446021            0     0.711614
    -0.566103            0     0.863942
    -0.686186            0     0.966877
    -0.806268            0            1
    -0.926351            0     0.961641
     -1.04643            0     0.867157
     -1.16652            0     0.740142
      -1.2866            0     0.603153
     -1.40668            0     0.472662
     -1.52676            0     0.358206
     -1.64685            0     0.263468
     -1.76693            0     0.188522
     -1.88701            0     0.131406
     -2.00709            0    0.0892563
     -2.12718            0    0.0590637
     -2.24726            0    0.0380317
     -2.36734            0    0.0237875
     -2.48742            0    0.0144156
     -2.60751            0   0.00843603
     -2.72759            0   0.00474629
     -2.84767            0   0.00255214
     -2.96775            0    0.0013014
     -3.08784            0  0.000622645
     -3.20792            0  0.000275324
       -3.328            0  0.000110014
     -3.44808            0  3.83181e-05
     -3.56817            0  1.08859e-05
     -3.68825            0  2.20532e-06
     -3.80833            0  1.85112e-07

pressure[atm]        = 3
temperature[K]       = 200
energy step[1/cm]    = 42
maximum energy[1/cm] = 4170

Bimolecular-to-bimolecular product energy distributions:
  E, kcal/mol       P0->P1
      11.9225  8.41537e-09
      11.8024   1.0767e-08
      11.6823  1.37706e-08
      11.5622   1.7605e-08
      11.4421  2.24983e-08
