========================================
hono_B1_Frequencies_1_0.1.out
0.1 atm
T,R1->P1
290.0,1.16821e-10
300.0,1.18245e-10
310.0,1.19618e-10
320.0,1.20947e-10
330.0,1.22231e-10
340.0,1.23477e-10
350.0,1.24692e-10
360.0,1.25878e-10
370.0,1.27032e-10
380.0,1.28152e-10
390.0,1.29248e-10
400.0,1.30313e-10
410.0,1.31363e-10
420.0,1.32378e-10
430.0,1.33378e-10
440.0,1.34358e-10
450.0,1.35324e-10
460.0,1.36266e-10
470.0,1.37154e-10
480.0,1.38075e-10
490.0,1.38954e-10
500.0,1.39838e-10
510.0,1.40707e-10
520.0,1.41569e-10
530.0,1.42391e-10
540.0,1.43217e-10
550.0,1.44028e-10
560.0,1.44823e-10
570.0,1.4562e-10
580.0,1.4638e-10
590.0,1.47173e-10
600.0,1.47901e-10
610.0,1.48682e-10
620.0,1.49393e-10
630.0,1.50142e-10
640.0,1.50851e-10
650.0,1.51575e-10
660.0,1.52264e-10
670.0,1.52989e-10
680.0,1.53641e-10
690.0,1.54375e-10
700.0,1.54998e-10
800.0,1.6145e-10
900.0,1.67283e-10
1000.0,1.72715e-10
1100.0,1.77714e-10
1200.0,1.82448e-10
1300.0,1.86851e-10
1400.0,1.90967e-10
1500.0,1.94897e-10
1600.0,1.9859e-10
1700.0,2.02094e-10
1800.0,2.05442e-10
1900.0,2.08608e-10
2000.0,2.11635e-10
2100.0,2.14534e-10
2200.0,2.17303e-10
2300.0,2.19961e-10
2400.0,2.22512e-10
2500.0,2.24964e-10
2600.0,2.27312e-10
2700.0,2.29579e-10
2800.0,2.3177e-10
2900.0,2.33875e-10
3000.0,2.35908e-10
========================================
hono_B1_Frequencies_1_0.1.out
100.0 atm
T,R1->P1
200.0,1.01035e-10
210.0,1.03037e-10
220.0,1.04969e-10
230.0,1.06834e-10
240.0,1.08614e-10
250.0,1.10316e-10
260.0,1.11966e-10
270.0,1.13565e-10
280.0,1.1509e-10
290.0,1.16565e-10
300.0,1.17997e-10
310.0,1.19377e-10
320.0,1.20713e-10
330.0,1.22003e-10
340.0,1.23256e-10
350.0,1.24477e-10
360.0,1.25668e-10
370.0,1.26827e-10
380.0,1.27952e-10
390.0,1.29052e-10
400.0,1.30122e-10
410.0,1.31175e-10
420.0,1.32194e-10
430.0,1.33197e-10
440.0,1.34181e-10
450.0,1.3515e-10
460.0,1.36096e-10
470.0,1.36987e-10
480.0,1.37911e-10
490.0,1.38793e-10
500.0,1.3968e-10
510.0,1.40551e-10
520.0,1.41416e-10
530.0,1.42241e-10
540.0,1.4307e-10
550.0,1.43883e-10
560.0,1.44681e-10
570.0,1.4548e-10
580.0,1.46243e-10
590.0,1.47038e-10
600.0,1.47769e-10
610.0,1.48552e-10
620.0,1.49266e-10
630.0,1.50017e-10
640.0,1.50728e-10
650.0,1.51454e-10
660.0,1.52146e-10
670.0,1.52872e-10
680.0,1.53526e-10
690.0,1.54262e-10
700.0,1.54887e-10
800.0,1.61359e-10
900.0,1.67209e-10
1000.0,1.72655e-10
1100.0,1.77668e-10
1200.0,1.82412e-10
1300.0,1.86825e-10
1400.0,1.90948e-10
1500.0,1.94885e-10
1600.0,1.98584e-10
1700.0,2.02093e-10
1800.0,2.05445e-10
1900.0,2.08614e-10
2000.0,2.11644e-10
2100.0,2.14545e-10
2200.0,2.17315e-10
2300.0,2.19975e-10
2400.0,2.22527e-10
2500.0,2.24979e-10
2600.0,2.27328e-10
2700.0,2.29595e-10
2800.0,2.31787e-10
2900.0,2.33891e-10
3000.0,2.35925e-10
========================================
hono_W1_Frequencies_1_0.1.out
0.1 atm
T,R1->P1
200.0,1.01415e-10
210.0,1.03407e-10
220.0,1.05328e-10
230.0,1.0718e-10
240.0,1.08947e-10
250.0,1.10639e-10
260.0,1.12279e-10
270.0,1.13869e-10
280.0,1.15387e-10
290.0,1.16856e-10
300.0,1.18282e-10
310.0,1.19658e-10
320.0,1.2099e-10
330.0,1.22276e-10
340.0,1.23526e-10
350.0,1.24745e-10
360.0,1.25934e-10
370.0,1.27092e-10
380.0,1.28216e-10
390.0,1.29315e-10
400.0,1.30385e-10
410.0,1.31438e-10
420.0,1.32458e-10
430.0,1.33462e-10
440.0,1.34447e-10
450.0,1.35418e-10
460.0,1.36365e-10
470.0,1.37259e-10
480.0,1.38186e-10
490.0,1.3907e-10
500.0,1.3996e-10
510.0,1.40835e-10
520.0,1.41703e-10
530.0,1.42532e-10
540.0,1.43365e-10
550.0,1.44182e-10
560.0,1.44985e-10
570.0,1.45789e-10
580.0,1.46557e-10
590.0,1.47357e-10
600.0,1.48093e-10
610.0,1.48882e-10
620.0,1.49602e-10
630.0,1.50359e-10
640.0,1.51077e-10
650.0,1.51811e-10
660.0,1.52509e-10
670.0,1.53243e-10
680.0,1.53904e-10
690.0,1.54648e-10
700.0,1.55281e-10
800.0,1.61846e-10
900.0,1.67811e-10
1000.0,1.73394e-10
1100.0,1.78561e-10
1200.0,1.83476e-10
1300.0,1.8807e-10
1400.0,1.92386e-10
1500.0,1.96523e-10
1600.0,2.00427e-10
1700.0,2.04143e-10
1800.0,2.07704e-10
1900.0,2.11082e-10
2000.0,2.14318e-10
2100.0,2.17423e-10
2200.0,2.20394e-10
2300.0,2.2325e-10
2400.0,2.25993e-10
2500.0,2.28631e-10
2600.0,2.3116e-10
2700.0,2.33602e-10
2800.0,2.35962e-10
2900.0,2.38229e-10
3000.0,2.40418e-10
========================================
hono_W1_Frequencies_1_0.1.out
0.2154 atm
T,R1->P1
200.0,1.01415e-10
210.0,1.03407e-10
220.0,1.05328e-10
230.0,1.0718e-10
240.0,1.08947e-10
250.0,1.10639e-10
260.0,1.12279e-10
270.0,1.13869e-10
280.0,1.15387e-10
290.0,1.16856e-10
300.0,1.18282e-10
310.0,1.19658e-10
320.0,1.2099e-10
330.0,1.22277e-10
340.0,1.23526e-10
350.0,1.24745e-10
360.0,1.25934e-10
370.0,1.27092e-10
380.0,1.28216e-10
390.0,1.29315e-10
400.0,1.30385e-10
410.0,1.31438e-10
420.0,1.32458e-10
430.0,1.33462e-10
440.0,1.34447e-10
450.0,1.35418e-10
460.0,1.36365e-10
470.0,1.37259e-10
480.0,1.38186e-10
490.0,1.3907e-10
500.0,1.3996e-10
510.0,1.40835e-10
520.0,1.41703e-10
530.0,1.42532e-10
540.0,1.43365e-10
550.0,1.44182e-10
560.0,1.44985e-10
570.0,1.45789e-10
580.0,1.46557e-10
590.0,1.47357e-10
600.0,1.48093e-10
610.0,1.48882e-10
620.0,1.49602e-10
630.0,1.50359e-10
640.0,1.51077e-10
650.0,1.51811e-10
660.0,1.52509e-10
670.0,1.53243e-10
680.0,1.53905e-10
690.0,1.54648e-10
700.0,1.55281e-10
800.0,1.61846e-10
900.0,1.67811e-10
1000.0,1.73394e-10
1100.0,1.78561e-10
1200.0,1.83476e-10
1300.0,1.8807e-10
1400.0,1.92387e-10
1500.0,1.96523e-10
1600.0,2.00427e-10
1700.0,2.04143e-10
1800.0,2.07704e-10
1900.0,2.11082e-10
2000.0,2.14318e-10
2100.0,2.17423e-10
2200.0,2.20394e-10
2300.0,2.2325e-10
2400.0,2.25993e-10
2500.0,2.28631e-10
2600.0,2.3116e-10
2700.0,2.33602e-10
2800.0,2.35962e-10
2900.0,2.38229e-10
3000.0,2.40418e-10
========================================
hono_W1_Frequencies_1_0.1.out
0.4641 atm
T,R1->P1
200.0,1.01415e-10
210.0,1.03407e-10
220.0,1.05328e-10
230.0,1.0718e-10
240.0,1.08947e-10
250.0,1.10639e-10
260.0,1.12279e-10
270.0,1.13869e-10
280.0,1.15387e-10
290.0,1.16856e-10
300.0,1.18282e-10
310.0,1.19658e-10
320.0,1.2099e-10
330.0,1.22277e-10
340.0,1.23526e-10
350.0,1.24745e-10
360.0,1.25934e-10
370.0,1.27092e-10
380.0,1.28216e-10
390.0,1.29315e-10
400.0,1.30385e-10
410.0,1.31439e-10
420.0,1.32458e-10
430.0,1.33463e-10
440.0,1.34447e-10
450.0,1.35418e-10
460.0,1.36365e-10
470.0,1.37259e-10
480.0,1.38186e-10
490.0,1.3907e-10
500.0,1.39961e-10
510.0,1.40835e-10
520.0,1.41703e-10
530.0,1.42532e-10
540.0,1.43365e-10
550.0,1.44182e-10
560.0,1.44985e-10
570.0,1.45789e-10
580.0,1.46557e-10
590.0,1.47357e-10
600.0,1.48094e-10
610.0,1.48882e-10
620.0,1.49602e-10
630.0,1.5036e-10
640.0,1.51077e-10
650.0,1.51811e-10
660.0,1.52509e-10
670.0,1.53243e-10
680.0,1.53905e-10
690.0,1.54648e-10
700.0,1.55281e-10
800.0,1.61846e-10
900.0,1.67811e-10
1000.0,1.73394e-10
1100.0,1.78561e-10
1200.0,1.83476e-10
1300.0,1.88071e-10
1400.0,1.92387e-10
1500.0,1.96523e-10
1600.0,2.00427e-10
1700.0,2.04143e-10
1800.0,2.07704e-10
1900.0,2.11082e-10
2000.0,2.14318e-10
2100.0,2.17423e-10
2200.0,2.20394e-10
