Pressure (atm),Temperature (K),W1_Energy_1_R->P2,W1_Energy_1_R->P3,W1_Energy_1_R->P1,W1_Energy_1_P1->P2,W1_Energy_1_W2->P1,W1_Energy_1_P2->P3
0.01,1800.0,-2.1370436676865418e-07,-1.086389854381502e-06,2.6672085327904423e-06,4.815646111703405e-06,-0.00015621700070837433,1.6429456065237938e-06
0.01,1900.0,1.471899183032697e-07,3.5668770158573514e-08,3.370034286079663e-06,4.764479349997089e-06,-0.0003992535902636628,2.579208506874705e-06
0.01,2000.0,5.280708649844594e-07,1.297412023032134e-06,3.378085189810398e-06,3.1596316646917264e-06,-0.0005194063894672855,3.197205505445672e-06
0.01,2100.0,8.205015183550278e-07,2.344588376925145e-06,2.5482322992296666e-06,-3.0335690756368494e-08,-0.0005020017655722962,3.333342106192319e-06
0.01,2200.0,9.16349987685279e-07,2.8171637663342595e-06,7.988026596868913e-07,-4.714265320600165e-06,-0.00036252552545671605,2.858975323232592e-06
0.01,2300.0,7.159621072732288e-07,2.3785135632422713e-06,-1.9018980172116685e-06,-1.072030011680128e-05,-0.0001381448782078122,1.679982135552238e-06
0.01,2400.0,1.3287872282398132e-07,7.328275218129293e-07,-5.547245935485642e-06,-1.783014844585414e-05,0.00012044042936055817,-2.663617419323e-07
0.01,2500.0,-9.040062851058175e-07,-2.3663542885355778e-06,-1.0102771668967978e-05,-2.5805053566167846e-05,0.00035582659576934326,-3.015723003628371e-06
0.01,2600.0,-2.4500419527343204e-06,-7.113787349146287e-06,-1.5514925695765986e-05,-3.440431478527072e-05,0.0005091877730086794,-6.58137533061897e-06
0.01,2700.0,-4.545531988593806e-06,-1.3654176656066111e-05,-2.171807521900515e-05,-4.339769740893003e-05,0.0005240197990137394,-1.095867859647566e-05
0.01,2800.0,-7.21709043192151e-06,-2.2086209543542594e-05,-2.863988425520877e-05,-5.2573128938472386e-05,0.00034860502800202153,-1.6129108999491027e-05
0.01,2900.0,-1.0479311599890136e-05,-3.2467816977436304e-05,-3.6205321608658504e-05,-6.174092810605608e-05,-6.254320665910172e-05,-2.2063744535503947e-05
0.01,3000.0,-1.433653629058768e-05,-4.482188558624293e-05,-4.43395510805913e-05,-7.073555112375894e-05,-0.0007479771093960308,-2.8726182866788266e-05
0.09,250.0,-5.333323800085372e-07,3.300448261612815e-08,-2.7678756908147226e-08,-3.715746574071656e-08,-2.3881005812919143,2.0835091922409584e-07
