    E, kcal/mol    D, mol/kcal         W1->P0
          291.5    1.15368e+09    3.02422e+14
            292    1.16012e+09    3.02556e+14
          292.5    1.16658e+09    3.02689e+14
            293    1.17307e+09    3.02822e+14
          293.5    1.17959e+09    3.02955e+14
            294    1.18613e+09    3.03087e+14
          294.5     1.1927e+09    3.03219e+14
            295    1.19929e+09     3.0335e+14
          295.5    1.20591e+09    3.03481e+14
            296    1.21255e+09    3.03612e+14
          296.5    1.21923e+09    3.03742e+14
            297    1.22592e+09    3.03873e+14
          297.5    1.23265e+09    3.04002e+14
            298     1.2394e+09    3.04131e+14
          298.5    1.24617e+09     3.0426e+14
            299    1.25297e+09    3.04389e+14
          299.5     1.2598e+09    3.04517e+14
            300    1.26666e+09    3.04645e+14
          300.5    1.27354e+09    3.04773e+14
            301    1.28045e+09    3.04899e+14
          301.5    1.28738e+09    3.05027e+14
            302    1.29435e+09    3.05153e+14
          302.5    1.30134e+09    3.05279e+14
            303    1.30835e+09    3.05404e+14
          303.5     1.3154e+09     3.0553e+14
            304    1.32247e+09    3.05655e+14
          304.5    1.32956e+09     3.0578e+14
            305    1.33669e+09    3.05904e+14
          305.5    1.34384e+09    3.06028e+14
            306    1.35102e+09    3.06151e+14
          306.5    1.35823e+09    3.06275e+14
            307    1.36546e+09    3.06398e+14
          307.5    1.37272e+09    3.06521e+14
            308    1.38001e+09    3.06643e+14
          308.5    1.38732e+09    3.06765e+14
            309    1.39467e+09    3.06887e+14
          309.5    1.40204e+09    3.07008e+14
            310    1.40944e+09    3.07129e+14
          310.5    1.41687e+09    3.07249e+14
            311    1.42432e+09     3.0737e+14
          311.5    1.43181e+09     3.0749e+14
            312    1.43932e+09    3.07609e+14
          312.5    1.44686e+09    3.07729e+14
            313    1.45442e+09    3.07848e+14
          313.5    1.46202e+09    3.07966e+14
            314    1.46964e+09    3.08085e+14
          314.5    1.47729e+09    3.08203e+14
            315    1.48498e+09    3.08321e+14
          315.5    1.49268e+09    3.08438e+14
            316    1.50042e+09    3.08555e+14
          316.5    1.50819e+09    3.08672e+14
            317    1.51598e+09    3.08788e+14
          317.5    1.52381e+09    3.08905e+14
            318    1.53166e+09     3.0902e+14
          318.5    1.53954e+09    3.09136e+14
            319    1.54745e+09    3.09251e+14
          319.5    1.55539e+09    3.09366e+14
            320    1.56336e+09    3.09481e+14
          320.5    1.57136e+09    3.09595e+14
            321    1.57938e+09    3.09709e+14
          321.5    1.58744e+09    3.09823e+14
            322    1.59553e+09    3.09936e+14
          322.5    1.60364e+09    3.10049e+14
            323    1.61179e+09    3.10162e+14
          323.5    1.61996e+09    3.10275e+14
            324    1.62816e+09    3.10387e+14
          324.5    1.63639e+09    3.10499e+14
            325    1.64466e+09    3.10611e+14
          325.5    1.65295e+09    3.10722e+14
