Pressure (atm),Temperature (K),B7_Energy_1_P3->P4,B7_Energy_1_P3->P5,B7_Energy_1_P3->W3,B7_Energy_1_P4->P5,B7_Energy_1_P1->P3,B7_Energy_1_W3->P5,B7_Energy_1_W3->P4,B7_Energy_1_W3->P1,B7_Energy_1_W3->P3,B7_Energy_1_P5->W3,B7_Energy_1_P1->W3,B7_Energy_1_P4->W3,B7_Energy_1_P1->P4,B7_Energy_1_P1->P5
0.1,300.0,-0.0004530232117389375,3.2146737392584184e-06,9.275861299841697e-06,3.177991175245706e-06,-1.818621726090358e-06,0.03393143783256523,1.4150839919469479e-05,1.1929294079117953e-06,1.0464840561520109e-05,0.03393751372720052,2.0603700305446745e-06,1.5051772980901057e-05,0.0002871332215912665,-2.7310127003959753e-06
0.1,310.0,-0.001169847804383725,6.956476267626289e-06,2.7861156811004228e-05,1.0292591294065894e-05,-2.347787637354668e-06,0.06753875967897917,5.652544736025783e-05,6.818671655525508e-06,2.725567361622645e-05,0.06755194109470698,7.451282818850487e-06,5.639750677175912e-05,0.000235865729057859,-7.875257762735422e-06
0.1,320.0,-0.001275132801702534,6.8014347341149405e-06,3.1402388990396557e-05,1.1352338166006947e-05,-1.5531593376207428e-06,0.06974259681225987,6.911280433232881e-05,8.744066994296374e-06,2.9067740279010128e-05,0.06975902015512946,8.913124975695045e-06,6.795393407735875e-05,6.326835844794654e-05,-9.941942066304662e-06
0.1,330.0,-0.0008532845112429565,3.704075672636419e-06,2.1597627335773955e-05,6.877322890249557e-06,-5.321151673526565e-08,0.039047590643098304,5.3428357202434756e-05,7.159348169915762e-06,1.8217423221310657e-05,0.039063526735019276,6.718098402458716e-06,5.1563992406569805e-05,-0.0001355406303525492,-9.239369460931486e-06
0.1,340.0,-0.00015991949860751943,-5.847658038546857e-07,4.617972523425915e-06,-9.746743408121255e-07,1.3959289839352822e-06,-0.016266685035971878,2.0752719474518476e-05,3.5253515387231594e-06,1.193569618278878e-06,-0.01625395927166662,2.402472808100013e-06,1.8662580149487155e-05,-0.00027870278071902575,-7.051313917741246e-06
0.1,350.0,0.000532491445656166,-4.526270139208939e-06,-1.273594754889073e-05,-9.876024519410628e-06,2.23816644385194e-06,-0.08372708966558284,-1.5536114393662303e-05,-4.36699184169915e-07,-1.5173619557556399e-05,-0.08371901560332705,-2.246642932710671e-06,-1.7369572211947268e-05,-0.0003235057881618035,-4.7737137610982465e-06
0.1,360.0,0.0010255879645171113,-7.293736805670932e-06,-2.5357232926791764e-05,-1.818134149621961e-05,2.2443152371387435e-06,-0.15102804956644916,-4.48125566813802e-05,-3.3821051217720684e-06,-2.5956018533256212e-05,-0.15102490509653088,-5.828964889772537e-06,-4.600396198352158e-05,-0.0002678962562511444,-3.422949551383571e-06
0.1,370.0,0.0012251129056970727,-8.846926434403142e-06,-3.065685329175006e-05,-2.5200987551885888e-05,1.4862438881444975e-06,-0.20855899772914877,-6.112057926384946e-05,-4.590335269510643e-06,-2.8856505238718216e-05,-0.2085602068805955,-7.579750693375412e-06,-6.142836599486763e-05,-0.00013865534813506633,-3.4879242811870676e-06
0.1,380.0,0.0011305987147957341,-9.758924681562777e-06,-2.837805688543805e-05,-3.1101533605321895e-05,2.3584943132678252e-07,-0.25034114945106806,-6.304530674093403e-05,-3.941464341510361e-06,-2.3941357925462198e-05,-0.2503456356614338,-7.347501762617321e-06,-6.237721867558655e-05,2.411617957285598e-05,-4.99927791735456e-06
0.1,390.0,0.0008061926106651918,-1.0954681654603985e-05,-1.992211873204005e-05,-3.6638490222596434e-05,-1.150734458230322e-06,-0.27389682418980976,-5.254217130624177e-05,-1.7552083261766755e-06,-1.2908132316237388e-05,-0.2739033211210255,-5.4337020632428136e-06,-5.0934733759927e-05,0.00018033444682109126,-7.69205765957251e-06
