Pressure (atm),Temperature (K),colrel_FactorOne_W4->P2,colrel_FactorOne_P1->P2,colrel_FactorOne_W4->P1
0.5,2700.0,0.6057814572331931,4.1942162251054375e-05,-0.6128223771419813
0.5,2800.0,0.5924194380748798,4.2450782536315215e-05,-0.6130894296663334
0.5,2900.0,0.5790396793860257,4.414114195727005e-05,-0.6133741187658773
0.5,3000.0,0.5657017376157588,4.685784224582808e-05,-0.6136632912039
1.0,250.0,0.05028068118961894,0.021262379515654788,0.28924866948526184
1.0,260.0,0.04143850566589936,0.020803614096989786,0.2554519847017656
1.0,270.0,0.036091152453173105,0.020361328442740734,0.22926620744722334
1.0,280.0,0.03292787322105773,0.019897689592353992,0.20091159912109158
1.0,290.0,0.0327285920986178,0.019435556312219722,0.1750658525222404
1.0,300.0,0.03411518753121202,0.0189615561800784,0.15250790212175608
1.0,310.0,0.03613596686570474,0.018461770019921386,0.13232855462112755
1.0,320.0,0.03866615350192385,0.01793613001570222,0.11366473561006663
1.0,330.0,0.041947186838120494,0.017394684026321362,0.0960328743028187
1.0,340.0,0.04621273763627729,0.016850214666109208,0.07920356444148689
1.0,350.0,0.051559981706279796,0.016313335416180037,0.06305998223990826
1.0,360.0,0.057966369916989426,0.01579072362872218,0.047527606482786026
1.0,370.0,0.06534861196451247,0.015285364648464412,0.032552869114164655
1.0,380.0,0.0736116502166289,0.01479762994361321,0.018100138372294676
1.0,390.0,0.08267394705384032,0.014326443488996374,0.004150775734026367
1.0,400.0,0.09247326532619149,0.013870197272304522,-0.00930043747143613
1.0,410.0,0.10296162869175439,0.013427334115153526,-0.02225090542453561
