Pressure (atm),Temperature (K),B0_SymmetryFactor_1_W4->P2,B0_SymmetryFactor_1_P1->P2,B0_SymmetryFactor_1_W4->P1,B0_Energy_1_W4->P2,B0_Energy_1_P1->P2,B0_Energy_1_W4->P1,B0_Frequencies_1_W4->P2,B0_Frequencies_1_P1->P2,B0_Frequencies_1_W4->P1
0.1,580.0,-1.702768194232274e-06,-0.022741834685920663,-0.035107167000578005,8.31838836214014e-06,-0.03180058309394786,-0.08597143551388209,-1.5985248578789147e-06,-0.0026113820914051684,-0.00065976807534692
0.1,590.0,-1.1230057831015584e-06,-0.022524268522877106,-0.034844222582229904,6.106823023058826e-06,-0.03088206624639716,-0.0842451994868326,-1.4301787405607983e-06,-0.0027262740970242687,-0.0006936749799353334
0.1,600.0,-3.721984788804412e-07,-0.02231302637830194,-0.03458686474757772,3.7080216849272705e-06,-0.03000206238268142,-0.08254506641727918,-1.1665534210403102e-06,-0.002842372770270325,-0.0007283790868362084
0.1,610.0,5.180151391196012e-07,-0.022108069198918258,-0.03433558702953257,1.3283124868793314e-06,-0.02916162949806582,-0.08088529343979162,-8.271102522576219e-07,-0.0029596445850929055,-0.0007637860430275512
0.1,620.0,1.5147402045941043e-06,-0.02190930055884916,-0.03409073717705893,-8.416375951500934e-07,-0.028360916236114385,-0.07927708349553539,-4.326815745504116e-07,-0.0030780489138956834,-0.0007997974572440361
0.1,630.0,2.585928754290835e-06,-0.021716574325432957,-0.033852525270802576,-2.634788777668559e-06,-0.027599289538613965,-0.0777286793247693,-4.225168587196536e-09,-0.003197537647638111,-0.0008363159302022988
0.1,640.0,3.7019902925663375e-06,-0.02152970362064601,-0.033621037892091955,-3.912737838558025e-06,-0.02687548120682849,-0.0762456026936215,4.381642974002415e-07,-0.0033180553545222795,-0.0008732490950759815
0.1,650.0,4.8369438930333436e-06,-0.021348470141595813,-0.03339625554508703,-4.568194431861863e-06,-0.026187737647747927,-0.07483097851976708,8.760003288362104e-07,-0.003439539840778899,-0.0009105126514048364
0.1,660.0,5.969163740739438e-06,-0.021172633184193546,-0.03317807127334075,-4.525391289008439e-06,-0.025533962148624738,-0.0734858985279543,1.2929292602665994e-06,-0.0035619229909145404,-0.0009480324476213538
0.1,670.0,7.081778346213584e-06,-0.021001937941341683,-0.032966309024240616,-3.7388923183518602e-06,-0.024911843042687714,-0.07220979177844178,1.6750627420132897e-06,-0.0036851317824140462,-0.0009857457134362566
