    E, kcal/mol    D, mol/kcal         W1->P0
           27.7         944804    3.05475e+13
           27.8         951550    3.07248e+13
           27.9         957877    3.09168e+13
             28         964648    3.10955e+13
           28.1         971479    3.12735e+13
           28.2         978036    3.14613e+13
           28.3         984775    3.16444e+13
           28.4         991614    3.18253e+13
           28.5         998266    3.20134e+13
           28.6    1.00509e+06    3.21973e+13
           28.7    1.01199e+06    3.23795e+13
           28.8    1.01902e+06    3.25588e+13
           28.9    1.02628e+06    3.27322e+13
             29    1.03346e+06    3.29089e+13
           29.1    1.04067e+06     3.3086e+13
           29.2    1.04761e+06    3.32726e+13
           29.3    1.05463e+06    3.34579e+13
           29.4     1.0612e+06    3.36586e+13
           29.5    1.06857e+06    3.38353e+13
           29.6    1.07579e+06    3.40177e+13
           29.7    1.08319e+06    3.41955e+13
           29.8    1.09065e+06    3.43725e+13
           29.9    1.09811e+06    3.45507e+13
             30    1.10559e+06    3.47294e+13
           30.1    1.11268e+06    3.49213e+13
           30.2    1.11972e+06    3.51161e+13
           30.3    1.12731e+06    3.52948e+13
           30.4    1.13495e+06    3.54729e+13
           30.5    1.14276e+06    3.56469e+13
           30.6    1.15048e+06    3.58249e+13
           30.7    1.15791e+06    3.60127e+13
           30.8    1.16552e+06    3.61962e+13
           30.9    1.17319e+06     3.6379e+13
             31    1.18091e+06    3.65614e+13
           31.1    1.18872e+06    3.67419e+13
           31.2     1.1967e+06    3.69184e+13
           31.3    1.20465e+06    3.70969e+13
           31.4    1.21228e+06    3.72862e+13
           31.5    1.22006e+06    3.74718e+13
           31.6    1.22794e+06    3.76559e+13
           31.7     1.2356e+06    3.78475e+13
           31.8    1.24397e+06    3.80184e+13
           31.9     1.2521e+06    3.81977e+13
             32     1.2603e+06     3.8376e+13
           32.1    1.26865e+06    3.85507e+13
           32.2    1.27691e+06    3.87292e+13
           32.3    1.28518e+06    3.89087e+13
           32.4    1.29317e+06    3.90974e+13
           32.5     1.3012e+06    3.92861e+13
           32.6    1.30931e+06    3.94733e+13
           32.7    1.31792e+06    3.96463e+13
           32.8    1.32631e+06    3.98271e+13
           32.9    1.33485e+06    4.00047e+13
             33    1.34341e+06    4.01825e+13
           33.1    1.35194e+06    4.03621e+13
           33.2    1.36048e+06    4.05427e+13
           33.3    1.36861e+06    4.07363e+13
           33.4    1.37719e+06    4.09174e+13
           33.5    1.38607e+06    4.10907e+13
           33.6    1.39489e+06    4.12671e+13
           33.7    1.40384e+06    4.14404e+13
           33.8    1.41268e+06    4.16182e+13
           33.9    1.42121e+06     4.1806e+13
             34    1.42989e+06    4.19904e+13
           34.1    1.43862e+06    4.21745e+13
           34.2    1.44788e+06    4.23441e+13
           34.3    1.45699e+06    4.25191e+13
           34.4    1.46619e+06    4.26927e+13
           34.5     1.4753e+06    4.28697e+13
           34.6    1.48407e+06     4.3058e+13
           34.7    1.49297e+06    4.32435e+13
           34.8    1.50193e+06    4.34281e+13
           34.9     1.5112e+06    4.36051e+13
             35    1.52089e+06    4.37708e+13
           35.1    1.53027e+06    4.39469e+13
           35.2    1.53969e+06    4.41227e+13
           35.3    1.54919e+06    4.42974e+13
           35.4    1.55859e+06    4.44759e+13
           35.5    1.56797e+06     4.4656e+13
           35.6    1.57708e+06    4.48451e+13
           35.7    1.58669e+06    4.50209e+13
           35.8    1.59614e+06    4.52024e+13
           35.9    1.60602e+06    4.53727e+13
             36    1.61562e+06    4.55519e+13
           36.1    1.62534e+06    4.57289e+13
           36.2    1.63506e+06    4.59071e+13
           36.3    1.64473e+06    4.60877e+13
           36.4    1.65438e+06    4.62698e+13
           36.5     1.6641e+06    4.64511e+13
           36.6    1.67406e+06    4.66269e+13
           36.7    1.68423e+06    4.67976e+13
           36.8    1.69426e+06    4.69734e+13
           36.9    1.70441e+06     4.7147e+13
             37    1.71442e+06    4.73254e+13
           37.1    1.72411e+06    4.75138e+13
           37.2    1.73444e+06    4.76854e+13
           37.3    1.74456e+06    4.78642e+13
           37.4    1.75512e+06    4.80317e+13
           37.5    1.76549e+06    4.82056e+13
           37.6    1.77592e+06    4.83787e+13
           37.7    1.78623e+06    4.85562e+13
           37.8    1.79617e+06    4.87447e+13
           37.9    1.80624e+06    4.89309e+13
             38    1.81684e+06    4.91036e+13
           38.1    1.82751e+06    4.92754e+13
           38.2    1.83853e+06     4.9439e+13
           38.3    1.84917e+06    4.96137e+13
           38.4    1.85986e+06    4.97881e+13
           38.5    1.87055e+06    4.99635e+13
           38.6    1.88114e+06    5.01424e+13
           38.7    1.89171e+06    5.03232e+13
           38.8    1.90245e+06    5.05003e+13
           38.9    1.91348e+06    5.06706e+13
             39    1.92426e+06    5.08486e+13
           39.1    1.93544e+06    5.10171e+13
           39.2    1.94629e+06     5.1195e+13
           39.3    1.95725e+06    5.13712e+13
           39.4    1.96818e+06    5.15494e+13
           39.5    1.97954e+06    5.17172e+13
           39.6    1.99108e+06     5.1881e+13
           39.7    2.00245e+06    5.20507e+13
           39.8    2.01392e+06    5.22185e+13
           39.9    2.02555e+06    5.23833e+13
             40    2.03698e+06    5.25545e+13
           40.1    2.04849e+06    5.27244e+13
           40.2    2.05984e+06    5.28997e+13
           40.3    2.07131e+06    5.30726e+13
           40.4    2.08321e+06    5.32356e+13
           40.5     2.0948e+06    5.34079e+13
           40.6    2.10678e+06     5.3571e+13
           40.7    2.11852e+06    5.37413e+13
           40.8    2.13032e+06    5.39112e+13
           40.9    2.14196e+06    5.40862e+13
             41     2.1532e+06    5.42721e+13
           41.1    2.16502e+06    5.44445e+13
           41.2    2.17718e+06    5.46096e+13
           41.3    2.18931e+06    5.47762e+13
           41.4    2.20174e+06    5.49366e+13
           41.5    2.21375e+06    5.51083e+13
           41.6    2.22581e+06    5.52799e+13
           41.7    2.23781e+06     5.5454e+13
           41.8    2.24972e+06    5.56315e+13
           41.9      2.262e+06    5.58008e+13
             42    2.27431e+06    5.59701e+13
           42.1    2.28681e+06    5.61362e+13
           42.2    2.29901e+06    5.63105e+13
           42.3    2.31157e+06     5.6477e+13
           42.4    2.32378e+06     5.6653e+13
           42.5    2.33608e+06    5.68279e+13
           42.6    2.34877e+06    5.69942e+13
           42.7    2.36171e+06    5.71555e+13
           42.8    2.37474e+06    5.73157e+13
           42.9    2.38754e+06    5.74826e+13
             43    2.40042e+06    5.76486e+13
           43.1    2.41343e+06    5.78124e+13
           43.2     2.4262e+06     5.7983e+13
           43.3    2.43904e+06    5.81529e+13
           43.4    2.45214e+06    5.83177e+13
           43.5    2.46522e+06     5.8484e+13
           43.6    2.47861e+06    5.86438e+13
           43.7    2.49163e+06    5.88134e+13
           43.8    2.50503e+06    5.89753e+13
           43.9    2.51814e+06    5.91446e+13
             44    2.53131e+06    5.93138e+13
           44.1    2.54429e+06    5.94884e+13
           44.2    2.55727e+06    5.96639e+13
           44.3    2.57072e+06    5.98292e+13
           44.4    2.58436e+06    5.99914e+13
           44.5    2.59795e+06    6.01555e+13
           44.6    2.61179e+06    6.03149e+13
           44.7     2.6252e+06    6.04852e+13
           44.8    2.63865e+06    6.06557e+13
           44.9    2.65243e+06    6.08193e+13
             45    2.66634e+06    6.09811e+13
           45.1    2.68046e+06     6.1139e+13
           45.2    2.69446e+06    6.13005e+13
           45.3    2.70857e+06    6.14609e+13
           45.4    2.72233e+06    6.16297e+13
           45.5     2.7364e+06    6.17927e+13
           45.6    2.75011e+06    6.19649e+13
           45.7     2.7643e+06    6.21271e+13
           45.8    2.77874e+06    6.22848e+13
           45.9    2.79331e+06    6.24405e+13
             46    2.80791e+06    6.25963e+13
           46.1    2.82225e+06    6.27593e+13
           46.2    2.83663e+06    6.29221e+13
           46.3    2.85113e+06    6.30834e+13
           46.4    2.86536e+06    6.32516e+13
           46.5    2.88003e+06     6.3411e+13
           46.6    2.89486e+06    6.35679e+13
           46.7    2.90956e+06    6.37289e+13
           46.8    2.92452e+06     6.3885e+13
           46.9    2.93907e+06    6.40512e+13
             47    2.95396e+06    6.42108e+13
           47.1    2.96855e+06    6.43779e+13
           47.2     2.9836e+06     6.4536e+13
           47.3    2.99868e+06    6.46947e+13
           47.4     3.0136e+06    6.48576e+13
           47.5    3.02887e+06     6.5014e+13
           47.6    3.04419e+06    6.51703e+13
           47.7    3.05945e+06    6.53291e+13
           47.8    3.07491e+06    6.54845e+13
           47.9    3.08991e+06    6.56508e+13
             48    3.10532e+06    6.58091e+13
           48.1    3.12095e+06     6.5964e+13
           48.2    3.13658e+06    6.61197e+13
           48.3    3.15237e+06    6.62732e+13
           48.4    3.16801e+06    6.64308e+13
           48.5    3.18371e+06    6.65883e+13
           48.6    3.19907e+06    6.67537e+13
           48.7    3.21467e+06    6.69151e+13
           48.8    3.23027e+06    6.70773e+13
           48.9     3.2463e+06    6.72316e+13
             49    3.26245e+06    6.73847e+13
           49.1    3.27867e+06    6.75371e+13
           49.2    3.29489e+06    6.76905e+13
           49.3    3.31081e+06    6.78511e+13
           49.4    3.32676e+06     6.8012e+13
           49.5     3.3428e+06    6.81721e+13
           49.6    3.35889e+06     6.8332e+13
           49.7     3.3754e+06    6.84843e+13
           49.8    3.39194e+06    6.86371e+13
           49.9    3.40829e+06    6.87947e+13
             50    3.42486e+06    6.89488e+13
           50.1    3.44099e+06    6.91126e+13
           50.2    3.45745e+06    6.92709e+13
           50.3    3.47396e+06     6.9429e+13
           50.4    3.49117e+06    6.95742e+13
           50.5    3.50831e+06    6.97217e+13
           50.6    3.52512e+06    6.98768e+13
           50.7    3.54221e+06    7.00271e+13
           50.8    3.55926e+06    7.01794e+13
           50.9    3.57622e+06    7.03342e+13
             51    3.59336e+06    7.04866e+13
           51.1    3.61035e+06    7.06427e+13
           51.2    3.62773e+06    7.07922e+13
           51.3    3.64518e+06    7.09415e+13
           51.4    3.66257e+06    7.10927e+13
           51.5    3.68008e+06    7.12426e+13
           51.6    3.69741e+06    7.13969e+13
           51.7    3.71475e+06    7.15518e+13
           51.8    3.73177e+06    7.17139e+13
           51.9    3.74928e+06    7.18675e+13
             52    3.76683e+06    7.20212e+13
           52.1    3.78467e+06    7.21704e+13
           52.2    3.80255e+06    7.23198e+13
           52.3    3.82048e+06    7.24692e+13
           52.4    3.83837e+06    7.26202e+13
           52.5    3.85593e+06    7.27785e+13
           52.6    3.87387e+06    7.29305e+13
           52.7    3.89213e+06    7.30775e+13
           52.8    3.91039e+06    7.32254e+13
           52.9    3.92887e+06    7.33702e+13
             53     3.9473e+06     7.3517e+13
           53.1    3.96548e+06    7.36693e+13
           53.2    3.98384e+06    7.38192e+13
           53.3    4.00172e+06    7.39789e+13
           53.4    4.02024e+06    7.41278e+13
           53.5    4.03881e+06    7.42767e+13
           53.6    4.05791e+06    7.44167e+13
           53.7    4.07689e+06    7.45601e+13
           53.8    4.09548e+06    7.47114e+13
           53.9    4.11437e+06    7.48584e+13
             54    4.13313e+06    7.50086e+13
           54.1     4.1518e+06    7.51612e+13
           54.2    4.17093e+06    7.53066e+13
           54.3    4.18996e+06    7.54548e+13
           54.4    4.20922e+06    7.55997e+13
           54.5    4.22848e+06    7.57457e+13
           54.6    4.24765e+06    7.58941e+13
           54.7     4.2669e+06     7.6042e+13
           54.8    4.28596e+06    7.61944e+13
           54.9    4.30533e+06     7.6342e+13
             55    4.32465e+06    7.64916e+13
           55.1     4.3444e+06    7.66344e+13
           55.2      4.364e+06    7.67809e+13
           55.3     4.3838e+06    7.69246e+13
           55.4    4.40359e+06    7.70697e+13
           55.5    4.42337e+06    7.72157e+13
           55.6     4.4431e+06    7.73636e+13
           55.7    4.46276e+06    7.75136e+13
           55.8    4.48305e+06    7.76536e+13
           55.9    4.50369e+06    7.77884e+13
