    E, kcal/mol    D, mol/kcal        W1v->W1        W1v->P1        W1v->P4        W1v->P5
            2.1    2.80101e+13    1.08962e+12    2.32635e+12     1.9309e+14
            2.2    2.87532e+13    1.08685e+12    2.31944e+12    1.92894e+14
            2.3    2.95141e+13    1.08415e+12     2.3126e+12    1.92697e+14
            2.4    3.02932e+13     1.0815e+12    2.30582e+12    1.92498e+14
            2.5     3.1091e+13    1.07878e+12    2.29899e+12    1.92299e+14
            2.6    3.19079e+13    1.07608e+12    2.29221e+12    1.92098e+14
            2.7    3.27442e+13    1.07342e+12    2.28548e+12    1.91896e+14
            2.8    3.36004e+13    1.07078e+12    2.27878e+12    1.91693e+14
            2.9    3.44769e+13     1.0681e+12    2.27207e+12    1.91489e+14
              3    3.53741e+13    1.06543e+12    2.26537e+12    1.91285e+14
            3.1    3.62925e+13    1.06284e+12    2.25877e+12    1.91079e+14
            3.2    3.72325e+13    1.06021e+12    2.25214e+12    1.90872e+14
            3.3    3.81947e+13    1.05756e+12    2.24552e+12    1.90664e+14
            3.4    3.91793e+13    1.05496e+12    2.23895e+12    1.90456e+14
            3.5     4.0187e+13     1.0524e+12    2.23243e+12    1.90246e+14
            3.6    4.12182e+13    1.04978e+12    2.22587e+12    1.90036e+14
            3.7    4.22734e+13    1.04718e+12    2.21936e+12    1.89825e+14
            3.8    4.33531e+13    1.04462e+12    2.21289e+12    1.89613e+14
            3.9    4.44578e+13    1.04208e+12    2.20645e+12      1.894e+14
              4    4.55881e+13     1.0395e+12    2.19999e+12    1.89187e+14
            4.1    4.67444e+13    1.03694e+12    2.19357e+12    1.88972e+14
            4.2    4.79274e+13    1.03444e+12    2.18721e+12    1.88757e+14
            4.3    4.91375e+13    1.03191e+12    2.18083e+12    1.88541e+14
            4.4    5.03754e+13    1.02936e+12    2.17446e+12    1.88325e+14
            4.5    5.16416e+13    1.02687e+12    2.16815e+12    1.88107e+14
            4.6    5.29366e+13     1.0244e+12    2.16187e+12    1.87889e+14
            4.7    5.42612e+13    1.02188e+12    2.15557e+12    1.87671e+14
            4.8    5.56158e+13    1.01939e+12     2.1493e+12    1.87451e+14
            4.9    5.70011e+13    1.01693e+12    2.14308e+12    1.87231e+14
              5    5.84177e+13    1.01449e+12    2.13688e+12     1.8701e+14
            5.1    5.98663e+13    1.01201e+12    2.13066e+12    1.86789e+14
            5.2    6.13475e+13    1.00955e+12    2.12449e+12    1.86567e+14
            5.3     6.2862e+13    1.00715e+12    2.11837e+12    1.86344e+14
            5.4    6.44105e+13    1.00472e+12    2.11225e+12     1.8612e+14
            5.5    6.59936e+13    1.00228e+12    2.10614e+12    1.85896e+14
            5.6     6.7612e+13    9.99875e+11    2.10006e+12    1.85672e+14
            5.7    6.92664e+13    9.97508e+11    2.09404e+12    1.85447e+14
            5.8    7.09577e+13    9.95094e+11      2.088e+12    1.85221e+14
            5.9    7.26864e+13    9.92693e+11    2.08198e+12    1.84995e+14
              6    7.44534e+13    9.90337e+11    2.07601e+12    1.84768e+14
            6.1    7.62594e+13    9.87988e+11    2.07007e+12    1.84541e+14
            6.2    7.81052e+13     9.8561e+11    2.06412e+12    1.84313e+14
            6.3    7.99916e+13    9.83252e+11     2.0582e+12    1.84084e+14
            6.4    8.19193e+13    9.80942e+11    2.05234e+12    1.83856e+14
            6.5    8.38893e+13    9.78609e+11    2.04648e+12    1.83626e+14
            6.6    8.59023e+13     9.7627e+11    2.04062e+12    1.83397e+14
            6.7    8.79592e+13    9.73957e+11     2.0348e+12    1.83167e+14
            6.8    9.00609e+13     9.7168e+11    2.02903e+12    1.82936e+14
            6.9    9.22082e+13    9.69368e+11    2.02324e+12    1.82705e+14
              7     9.4402e+13    9.67065e+11    2.01747e+12    1.82474e+14
            7.1    9.66433e+13      9.648e+11    2.01175e+12    1.82242e+14
            7.2    9.89329e+13    9.62542e+11    2.00605e+12     1.8201e+14
            7.3    1.01272e+14    9.60262e+11    2.00034e+12    1.81778e+14
            7.4    1.03661e+14    9.58002e+11    1.99467e+12    1.81545e+14
            7.5    1.06101e+14    9.55779e+11    1.98904e+12    1.81312e+14
            7.6    1.08594e+14    9.53539e+11    1.98341e+12    1.81079e+14
            7.7     1.1114e+14    9.51297e+11     1.9778e+12    1.80845e+14
            7.8     1.1374e+14    9.49076e+11    1.97221e+12    1.80611e+14
            7.9    1.16395e+14    9.46886e+11    1.96666e+12    1.80377e+14
              8    1.19107e+14    9.44669e+11    1.96111e+12    1.80142e+14
            8.1    1.21876e+14    9.42462e+11    1.95558e+12    1.79908e+14
            8.2    1.24704e+14    9.40287e+11    1.95008e+12    1.79673e+14
            8.3    1.27591e+14    9.38117e+11    1.94461e+12    1.79437e+14
            8.4     1.3054e+14     9.3593e+11    1.93913e+12    1.79202e+14
            8.5     1.3355e+14    9.33764e+11    1.93369e+12    1.78966e+14
            8.6    1.36623e+14    9.31627e+11    1.92828e+12     1.7873e+14
            8.7    1.39761e+14    9.29476e+11    1.92288e+12    1.78494e+14
            8.8    1.42964e+14    9.27326e+11    1.91749e+12    1.78258e+14
            8.9    1.46234e+14    9.25196e+11    1.91213e+12    1.78022e+14
              9    1.49571e+14    9.23092e+11     1.9068e+12    1.77785e+14
            9.1    1.52979e+14    9.20965e+11    1.90148e+12    1.77548e+14
            9.2    1.56456e+14    9.18848e+11    1.89617e+12    1.77311e+14
            9.3    1.60006e+14    9.16761e+11     1.8909e+12    1.77074e+14
            9.4    1.63629e+14    9.14677e+11    1.88565e+12    1.76837e+14
            9.5    1.67327e+14    9.12578e+11     1.8804e+12      1.766e+14
            9.6      1.711e+14      9.105e+11    1.87518e+12    1.76362e+14
            9.7    1.74951e+14    9.08448e+11       1.87e+12    1.76124e+14
            9.8    1.78881e+14    9.06383e+11    1.86482e+12    1.75887e+14
            9.9    1.82891e+14    9.04319e+11    1.85966e+12    1.75649e+14
             10    1.86983e+14    9.02275e+11    1.85452e+12    1.75411e+14
           10.1    1.91159e+14    9.00254e+11    1.84942e+12    1.75173e+14
           10.2    1.95419e+14    8.98214e+11    1.84432e+12    1.74935e+14
           10.3    1.99765e+14    8.96181e+11    1.83924e+12    1.74697e+14
           10.4      2.042e+14    8.94176e+11    1.83419e+12    1.74459e+14
           10.5    2.08724e+14    8.92176e+11    1.82916e+12    1.74221e+14
           10.6    2.13339e+14    8.90164e+11    1.82413e+12    1.73982e+14
           10.7    2.18047e+14    8.88167e+11    1.81913e+12    1.73744e+14
           10.8     2.2285e+14    8.86197e+11    1.81416e+12    1.73506e+14
           10.9    2.27749e+14    8.84217e+11     1.8092e+12    1.73267e+14
             11    2.32746e+14    8.82235e+11    1.80425e+12    1.73029e+14
           11.1    2.37843e+14    8.80272e+11    1.79933e+12    1.72791e+14
           11.2    2.43041e+14    8.78332e+11    1.79444e+12    1.72552e+14
           11.3    2.48343e+14    8.76375e+11    1.78954e+12    1.72314e+14
           11.4    2.53751e+14    8.74425e+11    1.78467e+12    1.72075e+14
           11.5    2.59265e+14    8.72498e+11    1.77983e+12    1.71837e+14
           11.6    2.64888e+14    8.70578e+11      1.775e+12    1.71598e+14
           11.7    2.70623e+14    8.68649e+11    1.77018e+12     1.7136e+14
           11.8     2.7647e+14    8.66732e+11    1.76539e+12    1.71121e+14
           11.9    2.82433e+14    8.64838e+11    1.76062e+12    1.70883e+14
             12    2.88513e+14    8.62939e+11    1.75586e+12    1.70644e+14
           12.1    2.94711e+14    8.61037e+11    1.75111e+12    1.70406e+14
           12.2    3.01032e+14    8.59153e+11    1.74639e+12    1.70167e+14
           12.3    3.07475e+14    8.57287e+11     1.7417e+12    1.69929e+14
           12.4    3.14044e+14     8.5541e+11    1.73701e+12    1.69691e+14
           12.5    3.20741e+14     8.5354e+11    1.73234e+12    1.69452e+14
           12.6    3.27568e+14    8.51688e+11    1.72769e+12    1.69214e+14
           12.7    3.34527e+14    8.49843e+11    1.72306e+12    1.68976e+14
           12.8    3.41621e+14    8.47992e+11    1.71844e+12    1.68738e+14
           12.9    3.48853e+14    8.46152e+11    1.71384e+12      1.685e+14
             13    3.56223e+14    8.44331e+11    1.70927e+12    1.68262e+14
           13.1    3.63735e+14    8.42507e+11    1.70471e+12    1.68024e+14
           13.2    3.71392e+14    8.40682e+11    1.70016e+12    1.67786e+14
           13.3    3.79195e+14    8.38873e+11    1.69563e+12    1.67548e+14
           13.4    3.87148e+14    8.37079e+11    1.69113e+12    1.67311e+14
           13.5    3.95253e+14    8.35275e+11    1.68663e+12    1.67074e+14
           13.6    4.03512e+14    8.33481e+11    1.68215e+12    1.66836e+14
           13.7    4.11928e+14    8.31702e+11     1.6777e+12    1.66599e+14
