    E, kcal/mol    D, mol/kcal        W1->W2a         W1->P1
           10.4    5.28137e+10     1.3657e+11    7.30905e+10    6.26116e+12
           10.6    5.41553e+10    1.39496e+11    7.57377e+10    6.28616e+12
           10.8    5.55272e+10     1.4246e+11    7.84507e+10    6.31111e+12
             11    5.69294e+10    1.45463e+11    8.12312e+10    6.33607e+12
           11.2    5.83628e+10    1.48506e+11    8.40796e+10      6.361e+12
           11.4     5.9829e+10    1.51586e+11    8.69956e+10    6.38581e+12
           11.6    6.13283e+10    1.54703e+11      8.998e+10    6.41051e+12
           11.8    6.28609e+10    1.57859e+11    9.30345e+10    6.43518e+12
             12    6.44268e+10    1.61055e+11    9.61608e+10    6.45986e+12
           12.2    6.60271e+10    1.64292e+11    9.93591e+10    6.48451e+12
           12.4    6.76633e+10    1.67566e+11    1.02629e+11    6.50907e+12
           12.6    6.93359e+10    1.70878e+11    1.05971e+11    6.53352e+12
           12.8     7.1045e+10     1.7423e+11    1.09388e+11    6.55796e+12
             13    7.27909e+10    1.77622e+11     1.1288e+11    6.58239e+12
           13.2    7.45751e+10    1.81054e+11    1.16448e+11    6.60676e+12
           13.4    7.63988e+10    1.84524e+11    1.20091e+11    6.63101e+12
           13.6    7.82626e+10    1.88032e+11     1.2381e+11    6.65518e+12
           13.8    8.01663e+10     1.9158e+11    1.27608e+11    6.67934e+12
             14    8.21105e+10     1.9517e+11    1.31485e+11    6.70349e+12
           14.2    8.40967e+10    1.98799e+11    1.35441e+11    6.72759e+12
           14.4    8.61262e+10    2.02467e+11    1.39477e+11    6.75159e+12
           14.6    8.81994e+10    2.06174e+11    1.43593e+11    6.77552e+12
           14.8    9.03165e+10    2.09922e+11    1.47791e+11    6.79944e+12
             15    9.24783e+10    2.13711e+11    1.52071e+11    6.82333e+12
           15.2    9.46865e+10    2.17539e+11    1.56435e+11    6.84715e+12
           15.4    9.69423e+10    2.21405e+11     1.6088e+11    6.87087e+12
           15.6     9.9246e+10    2.25311e+11     1.6541e+11    6.89452e+12
           15.8    1.01598e+11    2.29259e+11    1.70025e+11    6.91816e+12
             16    1.03999e+11    2.33247e+11    1.74728e+11    6.94178e+12
           16.2     1.0645e+11    2.37275e+11    1.79515e+11    6.96533e+12
           16.4    1.08954e+11    2.41342e+11    1.84389e+11     6.9888e+12
           16.6    1.11509e+11    2.45449e+11    1.89351e+11    7.01221e+12
           16.8    1.14118e+11    2.49598e+11    1.94402e+11    7.03561e+12
             17     1.1678e+11    2.53788e+11    1.99543e+11    7.05898e+12
           17.2    1.19499e+11    2.58016e+11    2.04772e+11    7.08225e+12
           17.4    1.22274e+11    2.62284e+11     2.1009e+11    7.10544e+12
           17.6    1.25106e+11    2.66592e+11      2.155e+11    7.12858e+12
           17.8    1.27996e+11    2.70941e+11    2.21002e+11    7.15171e+12
             18    1.30946e+11    2.75332e+11    2.26597e+11    7.17481e+12
           18.2    1.33956e+11    2.79761e+11    2.32284e+11    7.19782e+12
           18.4    1.37028e+11     2.8423e+11    2.38063e+11    7.22076e+12
           18.6    1.40162e+11    2.88741e+11    2.43938e+11    7.24367e+12
           18.8     1.4336e+11    2.93292e+11    2.49908e+11    7.26656e+12
             19    1.46622e+11    2.97884e+11    2.55972e+11    7.28939e+12
           19.2    1.49952e+11    3.02515e+11    2.62132e+11    7.31213e+12
           19.4    1.53349e+11    3.07185e+11    2.68387e+11    7.33481e+12
