========================================,
meqz_W1_Energy_1_0.0.out,
0.1 atm,
T,W2->P1
420,1.4322
430,2.50756
440,4.34081
450,7.27728
460,11.9027
470,19.066
480,29.9594
490,46.1964
500,70.0014
510,104.37
520,153.233
530,221.638
540,316.269
550,445.389
560,619.304
570,851.098
580,1156.2
590,1553.91
600,2066.9
610,2722.43
620,3551.97
630,4593.27
640,5887.47
650,7484.13
660,9435.6
670,11816.2
680,14676.8
690,18106.8
700,22187.8
800,123456
900,439612
1000,1142950
1100,2375640
1200,4217440
1300,6677130
1400,9750130
1500,13375500
1600,17475300
1700,21948400
1800,26734400
1900,31819400
2000,37120100
2100,42663500
2200,48298400
2300,54139400
2400,59949900
2500,65832600
2600,71944300
2700,77947000
2800,83963800
2900,89769300
3000,95726700
========================================,
meqz_W1_Energy_1_0.0.out,
0.1 atm,
T,P1->P2
200,2.99E-13
210,2.95E-13
220,2.91E-13
230,2.88E-13
240,2.84E-13
250,2.81E-13
260,2.77E-13
270,2.74E-13
280,2.71E-13
290,2.69E-13
300,2.66E-13
310,2.64E-13
320,2.62E-13
330,2.60E-13
340,2.58E-13
350,2.57E-13
360,2.55E-13
370,2.54E-13
380,2.53E-13
390,2.52E-13
400,2.52E-13
410,2.51E-13
420,2.51E-13
430,2.51E-13
440,2.51E-13
450,2.51E-13
460,2.51E-13
470,2.51E-13
480,2.52E-13
490,2.52E-13
500,2.53E-13
510,2.54E-13
520,2.55E-13
530,2.56E-13
540,2.57E-13
550,2.58E-13
560,2.60E-13
570,2.61E-13
580,2.63E-13
590,2.64E-13
600,2.66E-13
610,2.68E-13
620,2.70E-13
630,2.72E-13
640,2.74E-13
650,2.76E-13
660,2.79E-13
670,2.81E-13
680,2.83E-13
690,2.86E-13
700,2.89E-13
800,3.19E-13
900,3.57E-13
1000,4.01E-13
1100,4.52E-13
1200,5.09E-13
1300,5.73E-13
1400,6.44E-13
1500,7.20E-13
1600,8.03E-13
1700,8.91E-13
1800,9.86E-13
1900,1.09E-12
2000,1.19E-12
2100,1.31E-12
2200,1.43E-12
2300,1.55E-12
2400,1.68E-12
2500,1.82E-12
2600,1.96E-12
2700,2.11E-12
2800,2.26E-12
2900,2.42E-12
3000,2.58E-12
========================================,
meqz_W1_Energy_1_0.0.out,
0.5 atm,
T,P1->P2
200,2.92E-13
210,2.90E-13
220,2.88E-13
230,2.86E-13
240,2.84E-13
250,2.81E-13
260,2.79E-13
270,2.76E-13
280,2.74E-13
290,2.71E-13
300,2.69E-13
310,2.67E-13
320,2.65E-13
330,2.63E-13
340,2.62E-13
350,2.60E-13
360,2.59E-13
370,2.58E-13
380,2.57E-13
390,2.56E-13
400,2.55E-13
410,2.54E-13
420,2.54E-13
430,2.54E-13
440,2.54E-13
450,2.54E-13
460,2.54E-13
470,2.54E-13
480,2.55E-13
490,2.55E-13
500,2.56E-13
510,2.56E-13
520,2.57E-13
530,2.58E-13
540,2.59E-13
550,2.61E-13
560,2.62E-13
570,2.63E-13
580,2.65E-13
590,2.66E-13
600,2.68E-13
610,2.70E-13
620,2.72E-13
630,2.74E-13
640,2.76E-13
650,2.78E-13
660,2.80E-13
670,2.83E-13
680,2.85E-13
690,2.88E-13
700,2.90E-13
800,3.20E-13
900,3.57E-13
1000,4.02E-13
1100,4.53E-13
1200,5.10E-13
1300,5.74E-13
1400,6.44E-13
1500,7.20E-13
1600,8.03E-13
1700,8.92E-13
1800,9.86E-13
1900,1.09E-12
2000,1.19E-12
2100,1.31E-12
2200,1.43E-12
2300,1.55E-12
2400,1.68E-12
2500,1.82E-12
2600,1.96E-12
2700,2.11E-12
2800,2.26E-12
2900,2.42E-12
3000,2.58E-12
========================================,
meqz_W1_Energy_1_0.0.out,
1 atm,
T,P1->P2
200,2.66E-13
210,2.68E-13
220,2.68E-13
230,2.68E-13
240,2.67E-13
250,2.66E-13
260,2.65E-13
270,2.64E-13
280,2.63E-13
290,2.62E-13
300,2.60E-13
310,2.59E-13
320,2.58E-13
330,2.57E-13
340,2.56E-13
350,2.55E-13
360,2.54E-13
370,2.53E-13
380,2.52E-13
390,2.52E-13
400,2.52E-13
410,2.51E-13
420,2.51E-13
430,2.51E-13
440,2.51E-13
450,2.51E-13
460,2.52E-13
470,2.52E-13
480,2.53E-13
490,2.53E-13
500,2.54E-13
510,2.55E-13
520,2.56E-13
530,2.57E-13
540,2.58E-13
550,2.60E-13
560,2.61E-13
570,2.63E-13
580,2.64E-13
590,2.66E-13
600,2.68E-13
610,2.69E-13
620,2.71E-13
630,2.73E-13
640,2.75E-13
650,2.78E-13
660,2.80E-13
670,2.82E-13
680,2.85E-13
690,2.87E-13
700,2.90E-13
800,3.20E-13
900,3.58E-13
1000,4.02E-13
1100,4.53E-13
1200,5.10E-13
1300,5.74E-13
1400,6.44E-13
1500,7.20E-13
1600,8.03E-13
1700,8.92E-13
1800,9.86E-13
1900,1.09E-12
2000,1.19E-12
2100,1.31E-12
2200,1.43E-12
2300,1.55E-12
2400,1.68E-12
2500,1.82E-12
2600,1.96E-12
2700,2.11E-12
2800,2.26E-12
2900,2.42E-12
3000,2.58E-12
========================================,
meqz_W1_Energy_1_0.0.out,
2 atm,
T,P1->P2
200,2.27E-13
210,2.31E-13
220,2.34E-13
230,2.36E-13
240,2.38E-13
250,2.39E-13
260,2.40E-13
270,2.41E-13
280,2.41E-13
290,2.41E-13
300,2.41E-13
310,2.41E-13
320,2.41E-13
330,2.41E-13
340,2.41E-13
350,2.41E-13
360,2.42E-13
370,2.42E-13
380,2.42E-13
390,2.42E-13
400,2.42E-13
410,2.43E-13
420,2.43E-13
430,2.43E-13
440,2.44E-13
450,2.45E-13
460,2.45E-13
