    E, kcal/mol    D, mol/kcal         W1->P0
          137.5    1.09149e+08    7.63386e+13
            138    1.10346e+08    7.64794e+13
          138.5    1.11552e+08    7.66193e+13
            139    1.12769e+08    7.67579e+13
          139.5    1.13996e+08    7.68953e+13
            140    1.15229e+08    7.70339e+13
          140.5    1.16476e+08    7.71694e+13
            141     1.1773e+08     7.7306e+13
          141.5    1.18992e+08    7.74429e+13
            142    1.20267e+08    7.75765e+13
          142.5    1.21549e+08     7.7712e+13
            143    1.22842e+08    7.78449e+13
          143.5    1.24146e+08    7.79777e+13
            144    1.25459e+08    7.81097e+13
          144.5    1.26779e+08    7.82425e+13
            145    1.28113e+08    7.83727e+13
          145.5    1.29454e+08    7.85043e+13
            146    1.30807e+08    7.86334e+13
          146.5     1.3217e+08    7.87625e+13
            147    1.33541e+08    7.88921e+13
          147.5    1.34924e+08      7.902e+13
            148    1.36317e+08    7.91472e+13
          148.5     1.3772e+08    7.92739e+13
            149    1.39135e+08    7.93991e+13
          149.5    1.40559e+08    7.95248e+13
            150    1.41991e+08    7.96512e+13
          150.5    1.43437e+08    7.97747e+13
            151     1.4489e+08    7.98996e+13
          151.5    1.46357e+08    8.00224e+13
            152    1.47833e+08    8.01448e+13
          152.5    1.49318e+08     8.0268e+13
            153    1.50814e+08    8.03901e+13
          153.5    1.52325e+08    8.05098e+13
            154    1.53842e+08    8.06311e+13
          154.5    1.55372e+08    8.07505e+13
            155    1.56913e+08    8.08696e+13
          155.5    1.58463e+08    8.09892e+13
            156    1.60027e+08    8.11065e+13
          156.5      1.616e+08    8.12243e+13
            157    1.63183e+08    8.13421e+13
          157.5    1.64779e+08    8.14586e+13
            158    1.66384e+08    8.15751e+13
          158.5       1.68e+08    8.16916e+13
            159    1.69632e+08    8.18049e+13
          159.5    1.71271e+08    8.19201e+13
            160    1.72922e+08    8.20343e+13
          160.5    1.74585e+08    8.21477e+13
            161    1.76257e+08    8.22617e+13
          161.5    1.77942e+08    8.23742e+13
            162    1.79641e+08    8.24854e+13
          162.5    1.81347e+08    8.25977e+13
            163    1.83067e+08    8.27086e+13
          163.5    1.84799e+08     8.2819e+13
            164     1.8654e+08    8.29301e+13
          164.5    1.88298e+08    8.30386e+13
            165    1.90065e+08    8.31475e+13
          165.5    1.91842e+08    8.32569e+13
            166    1.93631e+08    8.33653e+13
          166.5    1.95434e+08    8.34728e+13
            167    1.97247e+08    8.35806e+13
          167.5    1.99076e+08    8.36863e+13
            168    2.00912e+08    8.37935e+13
          168.5    2.02761e+08    8.38995e+13
            169    2.04624e+08    8.40048e+13
          169.5    2.06498e+08      8.411e+13
            170    2.08385e+08    8.42143e+13
          170.5    2.10285e+08     8.4318e+13
            171    2.12195e+08    8.44221e+13
          171.5     2.1412e+08     8.4525e+13
            172    2.16058e+08    8.46269e+13
          172.5    2.18004e+08    8.47303e+13
            173    2.19967e+08    8.48312e+13
          173.5    2.21939e+08    8.49332e+13
            174    2.23924e+08    8.50347e+13
          174.5    2.25925e+08    8.51347e+13
            175    2.27937e+08    8.52346e+13
          175.5     2.2996e+08     8.5335e+13
            176    2.31999e+08    8.54337e+13
          176.5    2.34048e+08     8.5533e+13
            177    2.36109e+08    8.56321e+13
          177.5    2.38188e+08    8.57292e+13
            178    2.40276e+08    8.58273e+13
          178.5    2.42378e+08    8.59244e+13
            179    2.44494e+08    8.60209e+13
          179.5    2.46621e+08    8.61179e+13
            180    2.48761e+08    8.62143e+13
          180.5    2.50918e+08    8.63091e+13
            181    2.53085e+08    8.64049e+13
          181.5    2.55267e+08    8.64996e+13
            182    2.57462e+08     8.6594e+13
          182.5    2.59669e+08    8.66884e+13
            183    2.61891e+08    8.67818e+13
          183.5    2.64126e+08    8.68754e+13
            184    2.66374e+08    8.69686e+13
          184.5    2.68637e+08     8.7061e+13
            185    2.70912e+08    8.71533e+13
          185.5    2.73201e+08    8.72455e+13
            186    2.75507e+08    8.73362e+13
          186.5    2.77823e+08    8.74277e+13
            187    2.80156e+08    8.75181e+13
          187.5    2.82502e+08     8.7608e+13
            188    2.84861e+08    8.76983e+13
          188.5    2.87234e+08    8.77879e+13
            189    2.89622e+08    8.78771e+13
          189.5    2.92022e+08    8.79664e+13
            190    2.94438e+08    8.80549e+13
          190.5    2.96869e+08    8.81427e+13
            191    2.99311e+08    8.82314e+13
          191.5    3.01772e+08    8.83183e+13
            192    3.04244e+08    8.84055e+13
          192.5    3.06731e+08    8.84925e+13
            193    3.09234e+08    8.85788e+13
          193.5     3.1175e+08     8.8665e+13
            194    3.14281e+08    8.87508e+13
          194.5    3.16828e+08    8.88359e+13
            195    3.19388e+08    8.89212e+13
          195.5    3.21962e+08    8.90064e+13
            196    3.24553e+08    8.90905e+13
          196.5    3.27155e+08    8.91754e+13
            197    3.29777e+08    8.92586e+13
          197.5    3.32412e+08     8.9342e+13
            198    3.35061e+08    8.94252e+13
          198.5    3.37726e+08    8.95081e+13
            199    3.40405e+08    8.95907e+13
          199.5    3.43099e+08    8.96733e+13
            200     3.4581e+08    8.97549e+13
          200.5    3.48535e+08    8.98365e+13
            201    3.51275e+08    8.99181e+13
          201.5    3.54032e+08    8.99987e+13
            202    3.56802e+08    9.00798e+13
          202.5    3.59591e+08    9.01596e+13
            203    3.62394e+08    9.02394e+13
          203.5    3.65212e+08    9.03191e+13
            204    3.68045e+08    9.03988e+13
          204.5    3.70895e+08    9.04777e+13
            205    3.73758e+08     9.0557e+13
          205.5     3.7664e+08    9.06352e+13
            206    3.79537e+08    9.07133e+13
          206.5    3.82447e+08    9.07919e+13
            207    3.85377e+08    9.08693e+13
          207.5     3.8832e+08    9.09468e+13
            208    3.91281e+08    9.10238e+13
          208.5    3.94258e+08    9.11004e+13
            209    3.97251e+08    9.11769e+13
          209.5    4.00259e+08    9.12534e+13
            210    4.03286e+08    9.13288e+13
          210.5    4.06326e+08    9.14048e+13
            211    4.09384e+08    9.14801e+13
          211.5    4.12459e+08    9.15551e+13
            212    4.15547e+08    9.16305e+13
          212.5    4.18653e+08    9.17051e+13
            213    4.21779e+08    9.17789e+13
          213.5    4.24919e+08    9.18531e+13
            214    4.28076e+08    9.19267e+13
          214.5     4.3125e+08    9.20001e+13
            215    4.34437e+08     9.2074e+13
          215.5    4.37646e+08    9.21466e+13
            216    4.40869e+08    9.22193e+13
          216.5     4.4411e+08    9.22918e+13
            217    4.47368e+08    9.23639e+13
          217.5    4.50644e+08    9.24356e+13
            218    4.53934e+08    9.25076e+13
          218.5    4.57247e+08    9.25783e+13
            219    4.60572e+08    9.26496e+13
          219.5    4.63916e+08    9.27205e+13
            220    4.67277e+08     9.2791e+13
          220.5    4.70654e+08    9.28617e+13
            221     4.7405e+08    9.29317e+13
          221.5    4.77464e+08    9.30014e+13
            222    4.80893e+08    9.30714e+13
          222.5    4.84341e+08    9.31407e+13
            223    4.87808e+08    9.32096e+13
          223.5    4.91289e+08     9.3279e+13
            224    4.94793e+08     9.3347e+13
          224.5    4.98312e+08    9.34155e+13
            225    5.01848e+08    9.34838e+13
          225.5    5.05404e+08    9.35515e+13
            226    5.08977e+08    9.36191e+13
          226.5    5.12566e+08    9.36868e+13
            227    5.16177e+08    9.37536e+13
          227.5    5.19802e+08    9.38209e+13
            228    5.23446e+08    9.38879e+13
          228.5    5.27111e+08    9.39542e+13
            229    5.30791e+08    9.40206e+13
          229.5    5.34492e+08    9.40865e+13
            230    5.38211e+08    9.41522e+13
          230.5    5.41946e+08     9.4218e+13
            231      5.457e+08    9.42837e+13
          231.5    5.49475e+08    9.43484e+13
            232    5.53266e+08    9.44137e+13
          232.5    5.57079e+08     9.4478e+13
            233    5.60908e+08    9.45425e+13
          233.5    5.64757e+08    9.46068e+13
            234    5.68624e+08    9.46709e+13
          234.5     5.7251e+08    9.47346e+13
            235    5.76415e+08    9.47983e+13
          235.5     5.8034e+08    9.48615e+13
            236    5.84283e+08    9.49247e+13
          236.5    5.88244e+08    9.49878e+13
            237    5.92227e+08    9.50502e+13
          237.5    5.96225e+08    9.51133e+13
            238    6.00246e+08    9.51753e+13
          238.5    6.04286e+08    9.52374e+13
            239    6.08344e+08    9.52994e+13
          239.5    6.12421e+08    9.53612e+13
            240     6.1652e+08    9.54225e+13
          240.5    6.20636e+08    9.54838e+13
            241    6.24774e+08    9.55448e+13
          241.5     6.2893e+08    9.56055e+13
            242    6.33105e+08    9.56664e+13
          242.5    6.37302e+08    9.57267e+13
            243    6.41517e+08    9.57871e+13
